,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98837631041529,2522134.906645119,9.401444003670523e-05,5.0
3,O3N[15]-,62.985401336789415,62.985425940065,9436.524402938792,9.552660244828284e-05,10.0
4,O2O[17]N-,62.992583523829424,62.99260354536097,2103.4425164976988,9.55374802313558e-05,11.0
5,O2O[18]N-,63.99261282382943,63.99262392986503,15992.235438287214,9.705413705696774e-05,12.0
9,C4H5O2-,85.02950297937943,85.02960665158571,287.3659450568476,0.00012895983823398068,14.0
10,C2HO4-,88.98803209021943,88.98812320536499,2546.909452587943,0.00013496350066540466,16.0
16,C3H3O4-,103.00368215435944,103.00375642197041,7013.203510173112,0.0001562202221789459,18.0
21,C2O2F3-,112.98558747902945,112.98568055290112,1152.3701699610438,0.0001713592657221742,21.0
25,C5H7O3-,115.04006766307943,115.03999827233284,237.07085615421767,0.0001744750119855904,22.0
26,C4H5O4-,117.01933221849943,117.01937552762648,1772.039665351735,0.00017747693685277446,23.0
29,CH2O6N-,123.98876036620943,123.9887371258164,909.0927533016826,0.00018804699047123789,24.0
30,HO6N2-,124.98400933893944,124.98399862467144,1193093.5265490317,0.00018955645723786515,27.0
32,HO6NN[15]-,125.98104423233944,125.98103736518112,8504.194233637614,0.00019106865994963806,30.0
33,HO5O[17]N2-,125.98822641937944,125.98823609359886,2020.984430219241,0.0001910795945191959,31.0
34,HO5O[18]N2-,126.98825571937942,126.9882524692173,14368.742247621458,0.0001925961998993115,32.0
41,C5H7O4-,131.03498228263942,131.0349714104093,225.6618304238674,0.00019873362795791335,33.0
42,C4H5O5-,133.01424683805945,133.01426683885347,3010.9084958816884,0.00020173551235450288,34.0
49,C5H5O5-,145.01424683805945,145.01424595980797,1452.698544180483,0.00021993523679068457,36.0
52,C5H7O5-,147.02989690219945,147.02992795115415,14486.263167536068,0.00022299243144421906,37.0
53,C4C[13]H7O5-,148.03325173999946,148.0332031772172,266.9242705336402,0.00022451405390112744,38.0
55,C2H2O7N-,151.98367498576945,151.98367206358088,279.7678370911697,0.00023050540009178738,39.0
60,C6H7O5-,159.02989690219945,159.0298870634511,1770.561070440703,0.00024119206551749493,40.0
63,C5H5O6-,161.00916145761943,161.00920668797264,2719.7145945462757,0.00024419400153338793,41.0
64,C6H9O5-,161.04554696633943,161.0455641511292,1734.6581285939658,0.0002442491199961491,42.0
70,C3H4O7N-,165.99932504990943,165.99927628148842,650.6910684695152,0.00025176224562823834,43.0
75,C7H9O5-,173.04554696633946,173.0455305186041,9981.241857965473,0.00026244886072706187,44.0
77,C6H7O6-,175.0248115217594,175.02476302701984,1679.094815735323,0.00026545055813578333,45.0
85,C4H6O7N-,180.01497511404946,180.0149322012529,258.0535170357307,0.0002730190142403989,46.0
88,C8H9O5-,185.04554696633946,185.04551762289665,366.1878244514903,0.0002806485678480048,47.0
91,C8H11O5-,187.06119703047943,187.06121794168376,3241.6144000822183,0.00028370569968927644,48.0
94,C7H9O6-,189.04046158589938,189.0404336970515,1094.8911254622587,0.0002867073958144147,49.0
98,C5H6O7N-,192.01497511404946,192.01491888561912,701.8509757840167,0.00029121869770101766,50.0
108,C8H9O6-,201.04046158589938,201.04047487792874,823.3859565816963,0.00030490715997655326,52.0
112,C8H11O6-,203.0561116500394,203.05607240162814,921.8142628786429,0.0003079643085906718,53.0
117,C6H8O7N-,206.03062517818938,206.0306756660811,605.8713128103129,0.0003124756342529345,54.0
120,C5H6O8N-,208.00988973360944,208.00984411661702,1974.5687942810484,0.00031547733014083886,55.0
121,C6H10O7N-,208.04627524232941,208.04627050756432,869.7740644610059,0.00031553263486962463,56.0
127,C5H8O8N-,210.02553979774945,210.02553525780382,7598.255722596759,0.00031853452801149535,57.0
131,C10H13O5-,213.07684709461944,213.07676463469878,399.13854052405026,0.00032316209371671965,58.0
133,C9H11O6-,215.0561116500394,215.05602345378372,616.209060611115,0.0003261640176771932,59.0
138,C9H13O6-,217.07176171417942,217.07175293600662,851.6021518417164,0.0003292209046800983,60.0
142,C6H6O8N-,220.00988973360944,220.00992416103963,732.934530791209,0.0003336771120550586,62.0
143,C7H10O7N-,220.04627524232941,220.04624483698032,824.1876344389024,0.0003337322817020914,63.0
146,C6H8O8N-,222.02553979774945,222.025517400788,901.5297472136342,0.0003367342617553914,64.0
150,C5H6O9N-,224.00480435316945,224.0047445393334,4361.745057782927,0.00033973592899992595,65.0
151,C6H10O8N-,224.04118986188942,224.04117635535195,575.4750884828568,0.00033979110052800046,66.0
159,C10H13O6-,229.07176171417942,229.07169224750615,321.26577938375533,0.0003474205595720373,67.0
162,C10H15O6-,231.08741177831945,231.0873544457585,1177.0196950276902,0.00035047779920257074,68.0
167,C7H8O8N-,234.02553979774945,234.025514376704,3618.4732406139983,0.00035493393777685756,69.0
168,C8H12O7N-,234.06192530646942,234.06191554081784,11382.709863896232,0.0003549889889487227,70.0
170,C7C[13]H12O7N-,235.06528014426945,235.06512639266435,664.4212512986364,0.0003565106837885304,71.0
173,C7H10O8N-,236.04118986188942,236.04115997373546,8553.325490742367,0.000357990985922831,72.0
178,C6H8O9N-,238.02045441730945,238.02027256734146,399.517440286934,0.0003609925905636246,73.0
186,C5HO2F8-,244.98542861109942,244.98541279598248,600.1390547290888,0.00037155607346077527,74.0
192,C8H10O8N-,248.04118986188942,248.04119879157847,14919.486388378476,0.0003761906904502773,75.0
195,C7C[13]H10O8N-,249.04454469968945,249.04452319493308,632.0681202789491,0.00037771231930094684,76.0
196,C7H8O9N-,250.02045441730945,250.0204542680668,563.6066438637716,0.0003791927188183574,77.0
198,C8H12O8N-,250.05683992602943,250.05682392463675,11497.404826391075,0.0003792478208231532,78.0
201,C7C[13]H12O8N-,251.06019476382943,251.06014456537335,623.6266655744516,0.00038076945459300125,79.0
202,C8C[13]H16O7N-,251.09658027254943,251.09661652902582,284.8613173095432,0.0003808245428925432,80.0
203,C7H10O9N-,252.03610448144943,252.03602403457677,1367.992722409513,0.0003822495325514813,81.0
211,C8H8O9N-,262.02045441730945,262.0202344019657,247.14446186457465,0.0003973918900153322,83.0
212,C9H12O8N-,262.05683992602945,262.0564398934139,934.139970849031,0.00039744681047930897,84.0
215,C8H10O9N-,264.03610448144946,264.03567143835147,4776.6752248689245,0.0004004487939282787,85.0
216,C9H14O8N-,264.07248999016946,264.0720618192853,1815.226264253918,0.00040050396349260804,86.0
221,C8H12O9N-,266.05175454558946,266.0513107000636,2520.2656687403455,0.0004035055968822412,87.0
226,C10H14O8N-,276.0724899901694,276.072253889362,487.98996152598687,0.0004187041236494849,88.0
229,C9H12O9N-,278.05175454558946,278.0516253210557,6592.939052008846,0.00042170580669153657,89.0
230,C10H16O8N-,278.0881400543094,278.08791074603266,974.456071657599,0.00042176084039499494,90.0
232,C8C[13]H12O9N-,279.05510938338944,279.05492374442827,409.0912265658528,0.0004232273592907557,91.0
237,C9H14O9N-,280.0674046097294,280.0672458149433,2298.8551001636674,0.0004247630614187418,93.0
249,C10H14O9N-,292.0674046097294,292.06727571756824,3820.824572441082,0.00044296262656894634,94.0
253,C10H16O9N-,294.08305467386936,294.08282236963066,8832.58529192296,0.00044601939364810096,95.0
254,C8H11O10N2-,295.04191813787946,295.04211601327773,501.1420867635424,0.0004474744337339476,96.0
255,C9C[13]H16O9N-,295.0864095116694,295.0863607855689,565.1953001785148,0.0004475414246767193,97.0
263,C14H16O5NF-,297.10179941562944,297.10180297181785,740.2472636586642,0.00045059836195295846,99.0
270,C10H14O10N-,308.06231922928936,308.0623147821397,767.1083023071685,0.00046722157428559285,100.0
275,C10H16O10N-,310.07796929342936,310.0778016255228,385.2083424123246,0.00047027841358106287,101.0
280,C11H16O10N-,322.07796929342936,322.07781010929267,450.87480076732714,0.0004884783279962023,102.0
283,C10H14O11N-,324.05723384884936,324.0570631588352,647.6759185439971,0.0004914799315602549,103.0
