,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98837602719838,2644010.089683844,9.40144450083251e-05,4.0
3,O3N[15]-,62.985401336789415,62.985426550780666,8795.07456610737,9.552660725375448e-05,8.0
4,O2O[17]N-,62.992583523829424,62.99260905119408,2114.642354956187,9.55374850356111e-05,9.0
5,O2O[18]N-,63.99261282382943,63.9926235679651,16288.43068137099,9.705414168869249e-05,10.0
10,C2HO4-,88.98803209021943,88.98811537461812,3195.190471840942,0.00013496349920082346,15.0
16,C3H3O4-,103.00368215435944,103.00375943989158,8689.14081997481,0.0001562202159159651,16.0
21,C2O2F3-,112.98558747902945,112.985658977806,1113.4938091828467,0.00017135925548928147,18.0
26,C4H5O4-,117.01933221849943,117.01937611184404,1407.8856616377943,0.00017747692489093685,19.0
28,C3H3O5-,118.99859677391943,118.99859248090574,216.49843038181342,0.00018047876790750741,20.0
29,CH2O6N-,123.98876036620943,123.98872656756204,1015.618946749763,0.00018804697535810218,21.0
30,HO6N2-,124.98400933893944,124.98399767118643,1230212.8550958915,0.00018955644165802917,25.0
32,HO6NN[15]-,125.98104423233944,125.98103814787459,8319.754645506735,0.00019106864389812738,28.0
33,HO5O[17]N2-,125.98822641937944,125.9882161137205,2081.3251521796847,0.00019107957846425957,29.0
34,HO5O[18]N2-,126.98825571937942,126.9882519378279,14789.591042765336,0.0001925961833671636,30.0
38,C6H9O3-,129.05571772721942,129.05574749751017,271.065581398849,0.0001957319100018957,31.0
42,C4H5O5-,133.01424683805945,133.01425477883552,2780.05464141487,0.0002017354928598713,32.0
49,C5H5O5-,145.01424683805945,145.01424690516757,1173.147409604714,0.00021993536797944397,34.0
52,C5H7O5-,147.02989690219945,147.02992504564855,12375.653293746544,0.00022299240449870537,36.0
53,C4C[13]H7O5-,148.03325173999946,148.0332970681515,216.84860449731252,0.00022451418833715646,37.0
60,C6H7O5-,159.02989690219945,159.02992819408172,3024.5142030177835,0.00024119221191310205,38.0
63,C5H5O6-,161.00916145761943,161.00920116446264,2255.730475995795,0.000244193966406058,39.0
64,C6H9O5-,161.04554696633943,161.04555685032912,2064.4324028851693,0.000244249084846602,40.0
70,C3H4O7N-,165.99932504990943,165.99930192163836,981.6148906552324,0.00025176220740527063,41.0
72,C7H7O5-,171.02989690219945,171.02983000984145,334.801627459568,0.00025939173224583285,42.0
75,C7H9O5-,173.04554696633946,173.04552372019876,10090.749331036246,0.00026244881798031025,43.0
76,C6C[13]H9O5-,174.04890180413943,174.04890946038006,426.1380426713132,0.00026397061916709594,44.0
77,C6H7O6-,175.0248115217594,175.02479127125142,1834.2828448062578,0.0002654507222839919,45.0
79,C7H11O5-,175.06119703047943,175.0611190196393,291.4571248243284,0.0002655056949467098,46.0
88,C8H9O5-,185.04554696633946,185.0455279211446,276.45839134606456,0.0002806485169952369,48.0
91,C8H11O5-,187.06119703047943,187.06122789007722,1770.83196183553,0.0002837056474261852,49.0
94,C7H9O6-,189.04046158589938,189.04042686487966,1366.4605887494333,0.00028670734215314195,50.0
98,C5H6O7N-,192.01497511404946,192.01495859615028,1493.5074576918355,0.0002912186419135151,51.0
108,C8H9O6-,201.04046158589938,201.04043986692554,1997.666769478367,0.00030490709755685337,53.0
109,C9H13O5-,201.07684709461944,201.07678436451727,374.2497413157318,0.00030496220975553416,54.0
112,C8H11O6-,203.0561116500394,203.05614819663884,1213.33950224203,0.0003079642446530671,55.0
117,C6H8O7N-,206.03062517818938,206.03060746317792,1102.5622170822407,0.00031247556805122763,56.0
120,C5H6O8N-,208.00988973360944,208.00981174109572,1425.350189153614,0.0003154772624167861,57.0
121,C6H10O7N-,208.04627524232941,208.04630232836243,483.1856149771588,0.0003155325671174047,58.0
127,C5H8O8N-,210.02553979774945,210.02552784843002,9780.911590244774,0.00031853445872397556,59.0
133,C9H11O6-,215.0561116500394,215.0560438972066,416.51873754283724,0.0003261639444312193,60.0
138,C9H13O6-,217.07176171417942,217.07176806424025,709.0481028451027,0.00032922111738661593,61.0
143,C7H10O7N-,220.04627524232941,220.04624548159492,1517.1157751410235,0.00033373220445020015,64.0
146,C6H8O8N-,222.02553979774945,222.02548442100604,1708.6551336956954,0.0003367341828928815,65.0
150,C5H6O9N-,224.00480435316945,224.00476042719728,4127.495025708306,0.00033973584851474894,66.0
151,C6H10O8N-,224.04118986188942,224.04120999783535,565.0316117949262,0.00033979132153339993,67.0
159,C10H13O6-,229.07176171417942,229.07179270338366,231.86206354666805,0.0003474207866098228,68.0
