,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98837303664046,2586486.077585449,9.401440821894709e-05,4.0
3,O3N[15]-,62.985401336789415,62.985422603468834,9295.437591032127,9.552661474673647e-05,9.0
4,O2O[17]N-,62.992583523829424,62.99260390928843,2924.1579013005885,9.55374925314927e-05,10.0
5,O2O[18]N-,63.99261282382943,63.99261999793908,16682.25693757986,9.705414959226712e-05,11.0
10,C2HO4-,88.98803209021943,88.98812231282614,2964.2926184921234,0.00013496351936473158,16.0
16,C3H3O4-,103.00368215435944,103.00377213373487,7843.136906952557,0.0001562202445559015,17.0
21,C2O2F3-,112.98558747902945,112.98565806201,894.6052389649295,0.0001713592908069354,19.0
26,C4H5O4-,117.01933221849943,117.01940019214008,1457.655726182244,0.00017747696305175502,20.0
29,CH2O6N-,123.98876036620943,123.98874655342749,1123.8948559192975,0.00018804701862166207,21.0
30,HO6N2-,124.98400933893944,124.98400329774513,1195646.0916661203,0.00018955648566964132,23.0
32,HO6NN[15]-,125.98104423233944,125.98103630077037,8347.14990404446,0.00019106868866393818,25.0
33,HO5O[17]N2-,125.98822641937944,125.9882294112333,2302.4236342885783,0.00019107962323554133,26.0
34,HO5O[18]N2-,126.98825571937942,126.98825694540817,13916.163157135117,0.00019259622889967117,27.0
42,C4H5O5-,133.01424683805945,133.01427073059224,3445.293452970375,0.00020173554308028623,28.0
49,C5H5O5-,145.01424683805945,145.01429709261262,1730.1831050086666,0.0002199354280373446,30.0
52,C5H7O5-,147.02989690219945,147.02992682612262,14380.368813476236,0.0002229923059724244,32.0
53,C4C[13]H7O5-,148.03325173999946,148.03327518547763,287.9113061756957,0.00022451408902832143,33.0
60,C6H7O5-,159.02989690219945,159.02990527346904,2900.3655648104063,0.00024119210395536736,35.0
63,C5H5O6-,161.00916145761943,161.0091804454994,2097.2337309063237,0.0002441940405748234,36.0
64,C6H9O5-,161.04554696633943,161.04556846806946,1623.4262095449542,0.00024424915904868805,37.0
70,C3H4O7N-,165.99932504990943,165.9993279856234,1361.5636325841942,0.00025176228620150953,38.0
75,C7H9O5-,173.04554696633946,173.0455037662925,10651.611615026171,0.00026244869881200303,39.0
77,C6H7O6-,175.0248115217594,175.02476927948518,1556.0946572444786,0.00026545060151604745,40.0
88,C8H9O5-,185.04554696633946,185.0454728530686,300.70939964198664,0.0002806486143985567,41.0
91,C8H11O5-,187.06119703047943,187.06117810605497,2531.014258857134,0.00028370551684530834,42.0
94,C7H9O6-,189.04046158589938,189.04046276596233,1706.5634902848021,0.0002867074436442522,43.0
98,C5H6O7N-,192.01497511404946,192.01504816992082,935.489857050993,0.00029121874648901274,44.0
106,C9H11O5-,199.06119703047943,199.06118568504556,332.96470114136605,0.0003019054603401219,46.0
108,C8H9O6-,201.04046158589938,201.04045226751967,1382.3486129223118,0.0003049072117008179,47.0
112,C8H11O6-,203.0561116500394,203.05604785811747,431.2657455391157,0.0003079641008111884,48.0
117,C6H8O7N-,206.03062517818938,206.03061437386603,811.2992498484972,0.0003124754217161769,49.0
