,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98837391676273,2578771.080947674,9.401440986475752e-05,4.0
3,O3N[15]-,62.985401336789415,62.98542507320004,8059.913785164326,9.552661671881858e-05,9.0
4,O2O[17]N-,62.992583523829424,62.992604339157644,2509.1881405278305,9.553749450594753e-05,10.0
5,O2O[18]N-,63.99261282382943,63.99262257874742,17181.418183762347,9.705415190112675e-05,11.0
10,C2HO4-,88.98803209021943,88.98812302521739,2758.2028517889107,0.0001349634567261529,14.0
16,C3H3O4-,103.00368215435944,103.0037726712363,7620.617675352816,0.0001562202649825069,15.0
21,C2O2F3-,112.98558747902945,112.98566333304414,1253.4527029987864,0.00017135931730948234,17.0
26,C4H5O4-,117.01933221849943,117.01939263480527,1369.888032631421,0.00017747699216148956,18.0
29,CH2O6N-,123.98876036620943,123.98875601517528,1156.5324173823128,0.0001880470524358914,19.0
30,HO6N2-,124.98400933893944,124.98400190162357,1219582.0706578458,0.0001895565201760137,21.0
32,HO6NN[15]-,125.98104423233944,125.98104639959733,9302.36687924312,0.0001910687238687371,23.0
33,HO5O[17]N2-,125.98822641937944,125.9882252003353,2072.526663242805,0.00019107953129377469,24.0
34,HO5O[18]N2-,126.98825571937942,126.98825327919151,13118.156566490556,0.00019259626481507025,25.0
42,C4H5O5-,133.01424683805945,133.01426230783676,2860.9229078620147,0.00020173558335297823,26.0
49,C5H5O5-,145.01424683805945,145.01423999880947,1446.4717598853385,0.00021993532049849917,29.0
52,C5H7O5-,147.02989690219945,147.0299178907341,13048.36793537018,0.0002229923570623137,31.0
53,C4C[13]H7O5-,148.03325173999946,148.03327147974872,375.5819448815745,0.00022451414092833176,32.0
60,C6H7O5-,159.02989690219945,159.029902013813,3182.743794231532,0.00024119216503751202,33.0
63,C5H5O6-,161.00916145761943,161.00917311989974,1214.9372693800822,0.0002441939196707433,34.0
64,C6H9O5-,161.04554696633943,161.04555149937954,2282.3192877553106,0.00024424903811398765,35.0
70,C3H4O7N-,165.99932504990943,165.99935627603514,700.0325058927458,0.0002517623533853645,36.0
72,C7H7O5-,171.02989690219945,171.02978133220918,457.43383302300816,0.0002593916864232355,37.0
75,C7H9O5-,173.04554696633946,173.04551601146946,9476.67192131445,0.0002624487723815976,38.0
76,C6C[13]H9O5-,174.04890180413943,174.04880718260532,346.4316545292293,0.00026397036722632377,39.0
77,C6H7O6-,175.0248115217594,175.0247754602399,1040.370526814196,0.00026545067691807376,40.0
88,C8H9O5-,185.04554696633946,185.04558791208697,752.1272106353024,0.00028064869933312487,42.0
91,C8H11O5-,187.06119703047943,187.06117459312222,3230.396255650942,0.000283705603748081,43.0
94,C7H9O6-,189.04046158589938,189.0404575332975,1932.65950804789,0.00028670753249619577,44.0
98,C5H6O7N-,192.01497511404946,192.01490023343945,844.2723574780281,0.0002912185990634893,45.0
108,C8H9O6-,201.04046158589938,201.04043228026146,1715.7113537654172,0.0003049070564110553,48.0
112,C8H11O6-,203.0561116500394,203.05610518834578,1236.0521745939063,0.0003079642039219053,49.0
117,C6H8O7N-,206.03062517818938,206.03058912219285,604.7979865651189,0.00031247552795435514,50.0
120,C5H6O8N-,208.00988973360944,208.0098518013773,1585.0051024662341,0.00031547722275667784,51.0
121,C6H10O7N-,208.04627524232941,208.04624317887,730.0198895316138,0.00031553252746545357,52.0
127,C5H8O8N-,210.02553979774945,210.02550389812242,8131.107617232186,0.00031853441952073665,53.0
131,C10H13O5-,213.07684709461944,213.07677703481008,414.20414298199955,0.00032316198354914483,54.0
138,C9H13O6-,217.07176171417942,217.07173372613,1065.8793369658135,0.00032922107987495055,55.0
143,C7H10O7N-,220.04627524232941,220.04626596486045,965.0886650032746,0.00033373246118835465,56.0
146,C6H8O8N-,222.02553979774945,222.02548700397966,2293.7546463412727,0.00033673414665751745,57.0
150,C5H6O9N-,224.00480435316945,224.00477529563526,5029.0930186670375,0.00033973581280918495,58.0
151,C6H10O8N-,224.04118986188942,224.04118106115902,385.8925311302827,0.00033979128583773324,59.0
159,C10H13O6-,229.07176171417942,229.0718477992179,247.10440817919232,0.00034742106404490354,60.0
162,C10H15O6-,231.08741177831945,231.0873557463328,636.4519553740284,0.00035047767909364023,61.0
167,C7H8O8N-,234.02553979774945,234.0254991766877,3380.166871529938,0.00035493381603923015,62.0
168,C8H12O7N-,234.06192530646942,234.06188744578688,11803.44788485978,0.00035498918916518997,63.0
173,C7H10O8N-,236.04118986188942,236.0411571178548,8622.631879769826,0.000357990863066764,64.0
176,C6C[13]H10O8N-,237.04454469968945,237.04439821876323,407.3692627414814,0.00035951255988178013,65.0
187,C10H13O7-,245.06667633373942,245.06676816209563,259.7505897869888,0.0003716794055816353,66.0
192,C8H10O8N-,248.04118986188942,248.04117651756587,15349.94340766069,0.0003761905609173719,67.0
195,C7C[13]H10O8N-,249.04454469968945,249.04448711823053,443.33601161406983,0.00037771218920839883,68.0
196,C7H8O9N-,250.02045441730945,250.0204513678374,349.5983878917223,0.0003791925881811237,69.0
198,C8H12O8N-,250.05683992602943,250.05682312934917,12449.913438637102,0.0003792476901656419,70.0
199,C9H16O7N-,250.09322543474946,250.09318969498813,733.2179270870924,0.00037930280416159054,71.0
201,C7C[13]H12O8N-,251.06019476382943,251.06014011880555,627.0987690978333,0.0003807693233754129,72.0
203,C7H10O9N-,252.03610448144943,252.03599662927155,1224.0679321455643,0.0003822494007889056,73.0
212,C9H12O8N-,262.05683992602945,262.0564496276556,1469.4259595279207,0.0003974470545409836,74.0
215,C8H10O9N-,264.03610448144946,264.03571087791227,4143.660872944297,0.00040044865544800807,75.0
216,C9H14O8N-,264.07248999016946,264.0720914635978,2622.913219885598,0.0004005038249919274,76.0
218,C7C[13]H10O9N-,265.03945931924943,265.03899419421174,366.9488731918992,0.0004019701761391273,77.0
221,C8H12O9N-,266.05175454558946,266.0513261309955,2654.045333151243,0.00040350584745753846,78.0
225,C9H10O9N-,276.03610448144946,276.03611045758964,338.5148730011925,0.00041864912953759636,79.0
226,C10H14O8N-,276.0724899901694,276.07235549725834,705.8179155021238,0.00041870397840074083,80.0
229,C9H12O9N-,278.05175454558946,278.05165525987206,6951.75019272461,0.0004217060772083775,81.0
230,C10H16O8N-,278.0881400543094,278.0880584712166,792.6731362054509,0.0004217611109729799,82.0
237,C9H14O9N-,280.0674046097294,280.06726746335625,2217.2652611422022,0.0004247629139169998,84.0
242,C8C[13]H14O9N-,281.0707594475294,281.07084610983253,373.9503346793843,0.00042628495644082,85.0
243,C8H12O10N-,282.0466691651495,282.0466041,373.31570290406387,0.00042776493402997047,86.0
249,C10H14O9N-,292.0674046097294,292.06713022759396,4071.2557691980687,0.00044296247228046553,87.0
252,C9H12O10N-,294.0466691651495,294.0465513178377,697.621965721123,0.0004459648293561659,88.0
253,C10H16O9N-,294.08305467386936,294.08282947046297,9998.160008404684,0.0004460196916659283,89.0
