,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98837576828076,2560674.2610771433,9.401444353936082e-05,3.0
3,O3N[15]-,62.985401336789415,62.985423923022694,8888.355512902914,9.552660629766632e-05,9.0
4,O2O[17]N-,62.992583523829424,62.99260550670261,2487.170610702981,9.553748408325843e-05,10.0
5,O2O[18]N-,63.99261282382943,63.992624408185776,16383.441107918006,9.705414126357665e-05,11.0
7,C3H5O2-,73.02950297937943,73.02953321918164,313.0232299768297,0.00011075993411413576,15.0
9,C4H5O2-,85.02950297937943,85.02962331072379,205.55558583390317,0.0001289598514171478,17.0
10,C2HO4-,88.98803209021943,88.98811801654985,3385.2202577319945,0.00013496351584278178,19.0
11,C3H5O3-,89.02441759893942,89.0245347259575,170.06255153044333,0.00013501870785381716,20.0
16,C3H3O4-,103.00368215435944,103.00376335416871,11692.360985533538,0.00015622024513622717,21.0
17,C4H7O3-,103.04006766307943,103.04014412670212,335.5153698178357,0.00015627543508481493,22.0
21,C2O2F3-,112.98558747902945,112.98565202599866,365.5570647908893,0.00017135929487218935,24.0
26,C4H5O4-,117.01933221849943,117.01939042228396,2523.239006615311,0.00017747696865240948,25.0
29,CH2O6N-,123.98876036620943,123.98875677718158,1465.222831225348,0.0001880470270424161,26.0
30,HO6N2-,124.98400933893944,124.98399857749415,1192297.6657580948,0.00018955649451012435,28.0
32,HO6NN[15]-,125.98104423233944,125.98103381700055,7616.871993249536,0.00019106869792912023,31.0
33,HO5O[17]N2-,125.98822641937944,125.98820465654399,2222.7381076529146,0.00019107950535219857,32.0
34,HO5O[18]N2-,126.98825571937942,126.98825863512285,13153.348310368925,0.0001925962385981199,33.0
42,C4H5O5-,133.01424683805945,133.01425936726562,4275.97489968747,0.00020173555545949625,34.0
49,C5H5O5-,145.01424683805945,145.01427607295233,2242.319310910105,0.00021993528918051833,37.0
52,C5H7O5-,147.02989690219945,147.0299271801532,14887.57592309334,0.0002229923251581638,39.0
