,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98836373778879,2605148.2326424127,9.401439265744372e-05,6.0
3,O3N[15]-,62.985401336789415,62.98541147281855,8285.04383593661,9.552659891396814e-05,10.0
4,O2O[17]N-,62.992583523829424,62.99258636480642,2435.6057071648856,9.553747669677127e-05,11.0
5,O2O[18]N-,63.99261282382943,63.99261102569214,16879.264581410596,9.705413348498089e-05,12.0
9,C4H5O2-,85.02950297937943,85.02956286391633,277.8031554738809,0.00012895976347275512,15.0
10,C2HO4-,88.98803209021943,88.98811945249406,3448.771732591871,0.00013496349629267678,17.0
16,C3H3O4-,103.00368215435944,103.00374588083017,10662.490828570635,0.00015622021746100075,18.0
21,C2O2F3-,112.98558747902945,112.98561796776669,361.46724322507504,0.00017135915281531677,20.0
24,C4H3O4-,115.00368215435944,115.00373586443936,293.79071451339036,0.0001744199922430171,21.0
26,C4H5O4-,117.01933221849943,117.01937417551221,3448.826026946979,0.00017747693185732568,22.0
29,CH2O6N-,123.98876036620943,123.98871110048759,1136.3357179816148,0.00018804698536167424,23.0
30,HO6N2-,124.98400933893944,124.98397656151417,1185917.866247768,0.00018955645211325925,26.0
32,HO6NN[15]-,125.98104423233944,125.9810125773623,8457.005092388534,0.00019106865481027314,30.0
33,HO5O[17]N2-,125.98822641937944,125.98820459566296,2803.521373926163,0.0001910794622281752,31.0
34,HO5O[18]N2-,126.98825571937942,126.98822955470737,14777.99881754292,0.00019259619474535204,32.0
42,C4H5O5-,133.01424683805945,133.01423059427236,4337.612609211228,0.00020173550711975264,33.0
49,C5H5O5-,145.01424683805945,145.01423944588808,1158.1956626228962,0.00021993523142758688,35.0
52,C5H7O5-,147.02989690219945,147.029899020476,15255.374827969847,0.0002229922657631572,37.0
53,C4C[13]H7O5-,148.03325173999946,148.0332977269051,473.621164366808,0.00022451404851238835,38.0
60,C6H7O5-,159.02989690219945,159.0298973562157,3667.3953226611657,0.00024119206005729864,39.0
63,C5H5O6-,161.00916145761943,161.00915787312246,2013.8621991278505,0.00024419399606392294,40.0
64,C6H9O5-,161.04554696633943,161.0455221090853,1791.2947320480719,0.00024424911452652394,41.0
70,C3H4O7N-,165.99932504990943,165.9992826794555,792.3533027660012,0.0002517622401401796,42.0
75,C7H9O5-,173.04554696633946,173.04551092781003,9808.010442553137,0.00026244885522422654,43.0
76,C6C[13]H9O5-,174.04890180413943,174.04890885156848,713.1762556837688,0.00026397065706853585,44.0
77,C6H7O6-,175.0248115217594,175.02479343126438,1825.4813213190412,0.00026545055263118184,45.0
88,C8H9O5-,185.04554696633946,185.04548350159152,537.3166590106105,0.0002806485623502228,46.0
91,C8H11O5-,187.06119703047943,187.06119430213403,2436.6326942363353,0.0002837056941960054,48.0
94,C7H9O6-,189.04046158589938,189.04041719777825,2738.6032741272193,0.00028670739032658294,49.0
98,C5H6O7N-,192.01497511404946,192.01495858690038,1955.7809022236058,0.0002912186922232315,50.0
108,C8H9O6-,201.04046158589938,201.04046656172062,1598.5173232660788,0.000304907154542834,52.0
112,C8H11O6-,203.0561116500394,203.056050267498,902.756096765473,0.0003079643031695531,53.0
117,C6H8O7N-,206.03062517818938,206.03060608678447,1627.1404655317772,0.0003124753629493311,54.0
120,C5H6O8N-,208.00988973360944,208.00978068810016,1520.1331607639888,0.00031547732475490937,55.0
121,C6H10O7N-,208.04627524232941,208.04632246892044,519.008567283932,0.0003155326294839762,56.0
127,C5H8O8N-,210.02553979774945,210.02550169915526,9864.033926772998,0.00031853424896759246,57.0
133,C9H11O6-,215.0561116500394,215.05604284797812,867.3620754989761,0.0003261640123515442,58.0
138,C9H13O6-,217.07176171417942,217.0717063611271,363.38256038911965,0.00032922089937387704,59.0
