,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98838993834247,2410761.8837044244,9.401445140774281e-05,4.0
3,O3N[15]-,62.985401336789415,62.98544069489865,8583.055075601986,9.552661503203304e-05,10.0
4,O2O[17]N-,62.992583523829424,62.99261875249931,1812.8856293394413,9.553749282391817e-05,11.0
5,O2O[18]N-,63.99261282382943,63.99263811137805,16357.033335534328,9.705419691858323e-05,12.0
10,C2HO4-,88.98803209021943,88.98815380246825,4147.171724697616,0.00013496355298122888,18.0
16,C3H3O4-,103.00368215435944,103.00378415464527,11705.954324958304,0.00015622030184731656,19.0
21,C2O2F3-,112.98558747902945,112.98571107477471,1312.3278187880665,0.00017135936718283042,21.0
24,C4H3O4-,115.00368215435944,115.0037273322254,387.1295081984032,0.00017441999240247043,22.0
26,C4H5O4-,117.01933221849943,117.01940922110067,2192.308409150486,0.00017747704764148632,23.0
29,CH2O6N-,123.98876036620943,123.98878356506177,1082.2181836354534,0.00018804711806328573,25.0
30,HO6N2-,124.98400933893944,124.98402111473615,1113221.4862831624,0.0001895565872993078,27.0
32,HO6NN[15]-,125.98104423233944,125.98106206074,6784.782051606223,0.00019106866536137897,29.0
33,HO5O[17]N2-,125.98822641937944,125.9882324352451,1757.1436242865004,0.0001910795999380986,30.0
34,HO5O[18]N2-,126.98825571937942,126.98827648026932,13551.091201743242,0.00019259633498579614,31.0
42,C4H5O5-,133.01424683805945,133.01429893621273,3536.539798293079,0.00020173566296463244,32.0
49,C5H5O5-,145.01424683805945,145.01433955972558,1184.4689708977396,0.00021993542012452148,34.0
52,C5H7O5-,147.02989690219945,147.0299506001347,15705.259198395617,0.0002229924602049318,37.0
53,C4C[13]H7O5-,148.03325173999946,148.03328228679842,202.92042610690797,0.00022451408389340463,38.0
55,C2H2O7N-,151.98367498576945,151.9837668197473,261.8463936966353,0.00023050560350498924,39.0
60,C6H7O5-,159.02989690219945,159.02994389373762,3842.2974708116526,0.00024119210968974363,41.0
63,C5H5O6-,161.00916145761943,161.00920450798304,2927.1006084142045,0.0002441940483885302,42.0
64,C6H9O5-,161.04554696633943,161.04557363203983,2508.895769617962,0.0002442491669009192,43.0
69,C8H5O4-,165.01933221849944,165.01956638893736,209.4450197475521,0.00025027625460678543,44.0
70,C3H4O7N-,165.99932504990943,165.9993388856617,1475.5408448752048,0.00025176229942079533,45.0
72,C7H7O5-,171.02989690219945,171.02997439449845,283.97409793262904,0.0002593920358254716,46.0
75,C7H9O5-,173.04554696633946,173.04556230268085,11145.892238720557,0.0002624489247326659,47.0
77,C6H7O6-,175.0248115217594,175.0248915926949,2054.1814071446515,0.00026545083329434653,48.0
91,C8H11O5-,187.06119703047943,187.06125637600675,2993.8240558580496,0.0002837057854256209,49.0
94,C7H9O6-,189.04046158589938,189.0405374799142,2104.069563213396,0.00028670748476797926,50.0
98,C5H6O7N-,192.01497511404946,192.01503762039363,1807.6100369380704,0.00029121879155779483,51.0
108,C8H9O6-,201.04046158589938,201.0405048876445,1224.2350402690226,0.00030490726920472973,53.0
109,C9H13O5-,201.07684709461944,201.0769190035818,220.3770442917486,0.0003049626378651701,54.0
112,C8H11O6-,203.0561116500394,203.0561373171993,695.9572669954531,0.0003079644213521271,55.0
117,C6H8O7N-,206.03062517818938,206.03061114510933,1125.8857075034223,0.00031247548639121197,56.0
120,C5H6O8N-,208.00988973360944,208.00989876073547,2358.81377395627,0.0003154774517389051,57.0
121,C6H10O7N-,208.04627524232941,208.0463259243608,1829.069712587849,0.0003155327565335431,58.0
127,C5H8O8N-,210.02553979774945,210.02556561253445,7965.8042743722435,0.00031853437959303196,59.0
131,C10H13O5-,213.07684709461944,213.0768265751208,602.7006194214221,0.00032316222457694,60.0
133,C9H11O6-,215.0561116500394,215.05610462303906,916.9190374329653,0.00032616386865090986,61.0
138,C9H13O6-,217.07176171417942,217.07179932116745,414.73914263069156,0.0003292210430003952,62.0
142,C6H6O8N-,220.00988973360944,220.00992477019452,1029.0433559381418,0.000333677255950055,63.0
143,C7H10O7N-,220.04627524232941,220.04627153287618,1776.8985426668828,0.00033373242566656905,64.0
146,C6H8O8N-,222.02553979774945,222.02555316737795,1086.3808447691672,0.0003367341120566272,65.0
150,C5H6O9N-,224.00480435316945,224.00483925377262,5557.27834599447,0.00033973608059296355,66.0
151,C6H10O8N-,224.04118986188942,224.04120502987524,744.6439998570154,0.00033979125219176046,67.0
159,C10H13O6-,229.07176171417942,229.0719458565851,375.3356078896345,0.0003474210328565177,68.0
167,C7H8O8N-,234.02553979774945,234.02554660209086,4723.161840360425,0.00035493378737359594,69.0
168,C8H12O7N-,234.06192530646942,234.06194850182467,13993.063040044754,0.00035498916051852593,70.0
170,C7C[13]H12O7N-,235.06528014426945,235.06524596007603,218.91162125518673,0.00035651085739764397,71.0
173,C7H10O8N-,236.04118986188942,236.0412145136141,9083.31176598454,0.00035799083545663706,72.0
175,C8H14O7N-,236.07757537060942,236.07761506352816,555.6971379689154,0.0003580462732716473,73.0
180,C7H12O8N-,238.05683992602943,238.0567501926669,400.55030583160436,0.00036104791607724924,74.0
186,C5HO2F8-,244.98542861109942,244.9854755845525,677.140767981232,0.000371556267679105,75.0
192,C8H10O8N-,248.04118986188942,248.04124529848383,15266.216260048699,0.0003761908911787571,76.0
195,C7C[13]H10O8N-,249.04454469968945,249.04454056448543,503.71531770925515,0.0003777125221832701,77.0
196,C7H8O9N-,250.02045441730945,250.02043766953554,420.0549655776294,0.00037919256834561697,78.0
198,C8H12O8N-,250.05683992602943,250.0568810645904,13871.266780174641,0.0003792476703513642,79.0
199,C9H16O7N-,250.09322543474946,250.0932485763197,651.5067358602081,0.00037930278436855175,80.0
201,C7C[13]H12O8N-,251.06019476382943,251.06026936486606,229.89134065127283,0.00038076966182712564,81.0
203,C7H10O9N-,252.03610448144943,252.03607650213965,1508.6980438365597,0.000382249382139019,82.0
212,C9H12O8N-,262.05683992602945,262.05646115635045,1637.7559159292307,0.00039744704202355135,84.0
213,C10H16O7N-,262.09322543474946,262.0928690950767,427.5168368662774,0.000397501973955091,85.0
215,C8H10O9N-,264.03610448144946,264.0357530274154,5093.03787306307,0.00040044864418817586,86.0
216,C9H14O8N-,264.07248999016946,264.07217769482145,3060.4292879128766,0.0004005041995966625,87.0
218,C7C[13]H10O9N-,265.03945931924943,265.03924074147943,230.47672043093806,0.00040197055348481313,88.0
221,C8H12O9N-,266.05175454558946,266.05143092112456,2149.901009332179,0.00040350583749419554,90.0
222,C7C[13]H12O9N-,267.05510938338944,267.0546848233699,295.29017540604934,0.0004050275665201499,91.0
225,C9H10O9N-,276.03610448144946,276.0359537513333,299.09098075513157,0.0004186487138694379,93.0
226,C10H14O8N-,276.0724899901694,276.0724170104818,593.0747563763505,0.000418703975114198,94.0
