,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98837818716087,2653654.908076283,9.401445032766524e-05,3.0
3,O3N[15]-,62.985401336789415,62.98542889827783,9122.241308225965,9.552661297438678e-05,7.0
4,O2O[17]N-,62.992583523829424,62.99260554465623,2098.9650128811845,9.553749075915722e-05,8.0
5,O2O[18]N-,63.99261282382943,63.99262607088976,17125.980563732835,9.705414782227772e-05,9.0
9,C4H5O2-,85.02950297937943,85.02962158753908,423.94851332433683,0.0001289598543588582,11.0
10,C2HO4-,88.98803209021943,88.98813210001522,4221.544003674035,0.00013496351787193326,14.0
15,C4H5O3-,101.02441759893942,101.02449794090529,250.99718873005037,0.0001532183817578758,15.0
16,C3H3O4-,103.00368215435944,103.00377501942441,10669.38985258485,0.00015622024338761027,16.0
21,C2O2F3-,112.98558747902945,112.98567010913673,1314.687768586584,0.0001713592899374475,18.0
26,C4H5O4-,117.01933221849943,117.01941408715713,1989.4957230313867,0.00017747707613702463,20.0
29,CH2O6N-,123.98876036620943,123.9887572508867,1271.6301724964144,0.00018804701814331977,21.0
30,HO6N2-,124.98400933893944,124.98400991295688,1192727.6388855448,0.00018955648522977486,23.0
32,HO6NN[15]-,125.98104423233944,125.98104143501133,8750.34876078175,0.00019106868826312316,25.0
33,HO5O[17]N2-,125.98822641937944,125.98822787089806,2360.7153640657943,0.00019107949568343202,26.0
34,HO5O[18]N2-,126.98825571937942,126.98827079116055,13290.647722256539,0.00019259622853881557,27.0
38,C6H9O3-,129.05571772721942,129.05581208866866,299.4744251607254,0.00019573195684623965,28.0
42,C4H5O5-,133.01424683805945,133.01427049534126,4166.0689081870205,0.00020173554296914572,29.0
49,C5H5O5-,145.01424683805945,145.01428159755704,1955.9539276664161,0.00021993527146094583,31.0
52,C5H7O5-,147.02989690219945,147.02994075382855,13065.193541977398,0.00022299230651075708,33.0
55,C2H2O7N-,151.98367498576945,151.98364598773242,450.11957371819295,0.00023050543719009615,35.0
60,C6H7O5-,159.02989690219945,159.0299178106357,4500.609577457464,0.00024119210512326525,36.0
63,C5H5O6-,161.00916145761943,161.0091929463413,2739.2927225399585,0.00024419404185287727,37.0
64,C6H9O5-,161.04554696633943,161.04557488530733,2704.9679694625147,0.00024424916032878105,38.0
70,C3H4O7N-,165.99932504990943,165.9993463482606,888.5953522422423,0.0002517622877650583,39.0
75,C7H9O5-,173.04554696633946,173.04555298944211,10246.603192610353,0.0002624489054731915,40.0
76,C6C[13]H9O5-,174.04890180413943,174.04889483859006,567.4286551343223,0.00026397050123555885,41.0
77,C6H7O6-,175.0248115217594,175.02483365609316,1751.6032035087799,0.00026545081182126156,42.0
91,C8H11O5-,187.06119703047943,187.06119249401738,2171.4061452379583,0.0002837057497721477,44.0
94,C7H9O6-,189.04046158589938,189.04050605790897,1490.5022931191124,0.00028670744666627203,45.0
98,C5H6O7N-,192.01497511404946,192.01498559518473,1339.6752828597419,0.0002912187497156351,46.0
102,C5H8O7N-,194.03062517818938,194.0305955041148,270.2708850828889,0.000294275653661645,48.0
108,C8H9O6-,201.04046158589938,201.0404387510078,2066.6744441549085,0.00030490721557039187,50.0
112,C8H11O6-,203.0561116500394,203.0561251033694,439.2882802313678,0.00030796436499426266,51.0
117,C6H8O7N-,206.03062517818938,206.0306821763781,1243.7549031828119,0.00031247569185828886,52.0
120,C5H6O8N-,208.00988973360944,208.00986849240437,1717.4296027541081,0.0003154773885503022,53.0
121,C6H10O7N-,208.04627524232941,208.0463006938873,950.502775487466,0.0003155326932939368,54.0
127,C5H8O8N-,210.02553979774945,210.02553464041193,10061.67884883445,0.0003185343135695346,55.0
133,C9H11O6-,215.0561116500394,215.0560899865818,380.6274067901855,0.0003261640789783229,57.0
142,C6H6O8N-,220.00988973360944,220.00987445370313,716.5815996781552,0.00033367717541581143,58.0
143,C7H10O7N-,220.04627524232941,220.04622553976992,2110.3300759712506,0.00033373234507804903,59.0
146,C6H8O8N-,222.02553979774945,222.0254782180286,1302.8594399698588,0.00033673402849973365,60.0
150,C5H6O9N-,224.00480435316945,224.004810830148,6289.4919125526885,0.0003397359940374816,61.0
151,C6H10O8N-,224.04118986188942,224.0411515220449,572.2830728735969,0.0003397911655808896,62.0
159,C10H13O6-,229.07176171417942,229.07191066320084,574.7754054656557,0.00034742093848923454,63.0
167,C7H8O8N-,234.02553979774945,234.02552821447807,4032.059831164841,0.0003549340070819291,64.0
168,C8H12O7N-,234.06192530646942,234.06191992327786,14909.083646688852,0.0003549890582694103,65.0
170,C7C[13]H12O7N-,235.06528014426945,235.06529174955818,1359.3912843027035,0.0003565107535413156,66.0
173,C7H10O8N-,236.04118986188942,236.0411649101259,8628.49605657466,0.0003579910560967883,67.0
175,C8H14O7N-,236.07757537060942,236.07743537262914,467.2413923695947,0.00035804584164394077,68.0
178,C6H8O9N-,238.02045441730945,238.02032081809492,426.357170188041,0.0003609926615940915,69.0
180,C7H12O8N-,238.05683992602943,238.05674527789074,455.71330863103606,0.000361047807384578,70.0
186,C5HO2F8-,244.98542861109942,244.9853433024504,295.93797116821077,0.00037155614753198445,71.0
192,C8H10O8N-,248.04118986188942,248.04120748605234,16777.993438170386,0.0003761907658684731,72.0
195,C7C[13]H10O8N-,249.04454469968945,249.04452766250424,442.234837894259,0.0003777123951630846,73.0
196,C7H8O9N-,250.02045441730945,250.02051954806544,363.19192217991906,0.00037919279511321294,74.0
198,C8H12O8N-,250.05683992602943,250.05684386841267,14414.924909934549,0.0003792478971341303,75.0
199,C9H16O7N-,250.09322543474946,250.09305790181972,428.638462128212,0.0003793026555535812,76.0
201,C7C[13]H12O8N-,251.06019476382943,251.06013691757644,864.1848017571828,0.0003807695313496045,77.0
203,C7H10O9N-,252.03610448144943,252.03609687501194,2112.0940618782656,0.0003822496097423417,78.0
212,C9H12O8N-,262.05683992602945,262.05644458775856,1911.4656822484512,0.0003974468921744219,79.0
215,C8H10O9N-,264.03610448144946,264.0357515896645,5750.436271109759,0.00040044887652282895,80.0
