,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98836742024603,2724910.2518566204,9.401441217300312e-05,5.0
3,O3N[15]-,62.985401336789415,62.98541981858908,9819.99328784767,9.552657401252576e-05,10.0
4,O2O[17]N-,62.992583523829424,62.992594548312745,2470.37849510874,9.553745179147298e-05,11.0
5,O2O[18]N-,63.99261282382943,63.99261378280187,17937.70256589385,9.705415406840683e-05,12.0
9,C4H5O2-,85.02950297937943,85.0295344388912,348.887558304204,0.00012895972593992782,15.0
10,C2HO4-,88.98803209021943,88.98811029997775,3908.7934901386457,0.0001349634563355851,17.0
16,C3H3O4-,103.00368215435944,103.00375084240837,12433.76422316427,0.00015622026256337734,19.0
21,C2O2F3-,112.98558747902945,112.98562801564198,991.8519588577983,0.00017135920522304274,21.0
24,C4H3O4-,115.00368215435944,115.00372504286398,317.70670501900605,0.00017441993528384767,22.0
26,C4H5O4-,117.01933221849943,117.01937735524125,2527.36944312229,0.00017747698732603279,23.0
29,CH2O6N-,123.98876036620943,123.98873516120652,1171.5349574595425,0.00018804704626217044,24.0
30,HO6N2-,124.98400933893944,124.98398321661328,1243889.5314211678,0.00018955651380399928,26.0
32,HO6NN[15]-,125.98104423233944,125.98102192036069,9212.822542806318,0.0001910685901555889,28.0
33,HO5O[17]N2-,125.98822641937944,125.98819338450582,2516.732872162989,0.00019107952471989056,29.0
34,HO5O[18]N2-,126.98825571937942,126.98824175270276,16009.363389272503,0.00019259625803836185,30.0
38,C6H9O3-,129.05571772721942,129.05575044553055,205.3793777082434,0.00019573185548835413,31.0
42,C4H5O5-,133.01424683805945,133.01424929303522,3476.9387868594454,0.0002017355753167707,32.0
48,C6H7O4-,143.03498228263942,143.03501850363813,376.3019277431705,0.00021693347996354554,36.0
49,C5H5O5-,145.01424683805945,145.014240400423,1149.4667538277697,0.0002199353097678415,37.0
52,C5H7O5-,147.02989690219945,147.0299157152104,13024.555678336848,0.00022299234585531401,39.0
53,C4C[13]H7O5-,148.03325173999946,148.03327009249514,346.4427804561791,0.00022451412948170795,40.0
58,C6H5O5-,157.01424683805945,157.01423602113974,208.35737122140895,0.00023813498110348392,41.0
60,C6H7O5-,159.02989690219945,159.02989749800045,3406.8612821210945,0.0002411921508573906,42.0
63,C5H5O6-,161.00916145761943,161.00914270080202,3163.3461792283742,0.0002441939049780654,43.0
64,C6H9O5-,161.04554696633943,161.04552677590647,1251.4441326512906,0.00024424902341184027,44.0
70,C3H4O7N-,165.99932504990943,165.9993030314613,1289.9417521523278,0.0002517621450701852,45.0
75,C7H9O5-,173.04554696633946,173.04550399671564,10452.718542928147,0.0002624487544401869,47.0
76,C6C[13]H9O5-,174.04890180413943,174.04888210378073,318.56260961292577,0.00026397055546249895,48.0
77,C6H7O6-,175.0248115217594,175.02477362772947,2102.1923235054983,0.00026545065842111757,49.0
85,C4H6O7N-,180.01497511404946,180.0149631805068,207.8169858764885,0.00027301911936480753,51.0
91,C8H11O5-,187.06119703047943,187.0611617499127,3229.3824213716466,0.0002837055817463937,52.0
94,C7H9O6-,189.04046158589938,189.04045861174572,1834.417430923304,0.00028670750989769246,53.0
98,C5H6O7N-,192.01497511404946,192.01487643074347,1513.2443964553663,0.000291218575557424,54.0
102,C5H8O7N-,194.03062517818938,194.0306070611972,486.02928574630823,0.00029427572000335526,56.0
108,C8H9O6-,201.04046158589938,201.04038764187848,1335.0463893537956,0.00030490703007326857,57.0
112,C8H11O6-,203.0561116500394,203.05601278886041,1113.6339295774812,0.0003079641769358904,58.0
117,C6H8O7N-,206.03062517818938,206.0305625710538,1766.8158882251414,0.0003124755000013585,59.0
120,C5H6O8N-,208.00988973360944,208.00982239044404,2501.59314566955,0.0003154771941534419,60.0
121,C6H10O7N-,208.04627524232941,208.04621253816683,763.9549330674128,0.0003155324988501862,61.0
127,C5H8O8N-,210.02553979774945,210.02550337092197,9260.130417367593,0.0003185343902496518,62.0
131,C10H13O5-,213.07684709461944,213.0767086526878,418.49403712547496,0.00032316195325649715,64.0
138,C9H13O6-,217.07176171417942,217.07175093936158,651.5266944964945,0.00032922104822543914,65.0
142,C6H6O8N-,220.00988973360944,220.00989156133787,582.0788745284495,0.0003336772588273374,66.0
143,C7H10O7N-,220.04627524232941,220.04620433533535,1724.0460691692485,0.0003337321350225044,67.0
146,C6H8O8N-,222.02553979774945,222.02553723294665,1760.6445449620917,0.0003367341132954594,68.0
150,C5H6O9N-,224.00480435316945,224.00477292181006,6374.6662622479025,0.0003397360802007517,69.0
159,C10H13O6-,229.07176171417942,229.0717022395618,344.20434495615893,0.00034742071645726437,70.0
162,C10H15O6-,231.08741177831945,231.0871732416502,645.0611053801305,0.0003504773266579807,71.0
167,C7H8O8N-,234.02553979774945,234.02547301261944,5575.865180153061,0.00035493377839279004,72.0
168,C8H12O7N-,234.06192530646942,234.0618755962794,17225.18339868694,0.0003549891515054245,73.0
170,C7C[13]H12O7N-,235.06528014426945,235.06519755083994,451.6799846057239,0.0003565108474942094,74.0
173,C7H10O8N-,236.04118986188942,236.0411249836815,8536.436370052059,0.00035799082468205353,75.0
186,C5HO2F8-,244.98542861109942,244.98545053568444,358.17766193757495,0.0003715562486813645,76.0
192,C8H10O8N-,248.04118986188942,248.04117919103047,17878.480794339826,0.00037619051802869984,77.0
195,C7C[13]H10O8N-,249.04454469968945,249.04444347248776,957.0020723052966,0.0003777121459348121,78.0
196,C7H8O9N-,250.02045441730945,250.02053700449122,284.734990460981,0.00037919254453182673,79.0
198,C8H12O8N-,250.05683992602943,250.05680683519324,14670.197139883512,0.0003792476465023374,80.0
199,C9H16O7N-,250.09322543474946,250.0930401636295,689.1298230662682,0.0003793027604842737,81.0
201,C7C[13]H12O8N-,251.06019476382943,251.06012104465427,245.81714183011573,0.0003807692793246307,82.0
203,C7H10O9N-,252.03610448144943,252.03604642630395,356.416827705723,0.00038224935636000805,83.0
212,C9H12O8N-,262.05683992602945,262.0564197007429,1762.0724842926513,0.00039744700616050444,84.0
