,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.988356629153486,2501757.6986252293,9.401438390548403e-05,6.0
3,O3N[15]-,62.985401336789415,62.985403954024086,8770.632222078657,9.552654552464428e-05,11.0
4,O2O[17]N-,62.992583523829424,62.99258142262983,2523.8966921677493,9.553746825537438e-05,12.0
5,O2O[18]N-,63.99261282382943,63.992605397222235,15975.585648410623,9.705412536354242e-05,13.0
7,C3H5O2-,73.02950297937943,73.02952664796456,331.6519879827561,0.00011075991774798259,14.0
9,C4H5O2-,85.02950297937943,85.02954207002172,445.81949266274944,0.00012895969392560353,16.0
10,C2HO4-,88.98803209021943,88.98808452863857,3421.993950291146,0.00013496342394468924,18.0
16,C3H3O4-,103.00368215435944,103.00372850421788,10754.369106888644,0.00015622022941945432,20.0
21,C2O2F3-,112.98558747902945,112.9856403196562,622.8536032573473,0.00017135928005344538,22.0
24,C4H3O4-,115.00368215435944,115.0037006033552,311.6413207140016,0.00017441990217852127,23.0
25,C5H7O3-,115.04006766307943,115.0400587091774,292.9210483517934,0.00017447502788013142,24.0
26,C4H5O4-,117.01933221849943,117.01935201515133,3402.6215665867767,0.00017747695428633946,25.0
29,CH2O6N-,123.98876036620943,123.98868938599279,818.7798658179782,0.00018804701357657256,26.0
30,HO6N2-,124.98400933893944,124.98395965976518,1123137.192103621,0.0001895564811848443,30.0
32,HO6NN[15]-,125.98104423233944,125.98099320837397,7063.830750645166,0.00019106855760692154,32.0
33,HO5O[17]N2-,125.98822641937944,125.98818646418295,2111.5107954192245,0.00019107949217174726,33.0
34,HO5O[18]N2-,126.98825571937942,126.98821711484331,13144.317205383732,0.0001925962255648875,34.0
42,C4H5O5-,133.01424683805945,133.01422715790156,4349.452670306956,0.00020173554337579405,35.0
49,C5H5O5-,145.01424683805945,145.01421227124158,2136.9284680792657,0.00021993527929917503,37.0
52,C5H7O5-,147.02989690219945,147.02987118624029,15333.842263810877,0.00022299231568646087,39.0
60,C6H7O5-,159.02989690219945,159.02985544620913,3313.5428737671964,0.00024119194245665577,40.0
63,C5H5O6-,161.00916145761943,161.00913727009853,3071.0333839021664,0.000244193877291063,41.0
64,C6H9O5-,161.04554696633943,161.0455433338189,2058.9242095623795,0.00024424917949153355,42.0
70,C3H4O7N-,165.99932504990943,165.99930270417923,2017.6967708051754,0.00025176211843572866,43.0
75,C7H9O5-,173.04554696633946,173.04547741102024,11281.17412122117,0.0002624487294372759,44.0
76,C6C[13]H9O5-,174.04890180413943,174.04886082342688,352.49003705434774,0.0002639705307055859,45.0
77,C6H7O6-,175.0248115217594,175.02476066248448,2230.018643593522,0.0002654506339067008,46.0
88,C8H9O5-,185.04554696633946,185.0453703311679,352.3379799556262,0.0002806484297606964,48.0
