,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.98833682725458,2488490.510576758,9.401438679950415e-05,5.0
3,O3N[15]-,62.985401336789415,62.985385128027616,8758.458581531604,9.552654906923124e-05,11.0
4,O2O[17]N-,62.992583523829424,62.992560276827085,2098.8422358759253,9.553742685134517e-05,12.0
5,O2O[18]N-,63.99261282382943,63.99258551238572,15523.59591353864,9.705408355177856e-05,13.0
10,C2HO4-,88.98803209021943,88.98807806653203,4264.483493290253,0.00013496344920962034,17.0
16,C3H3O4-,103.00368215435944,103.00370452765159,9707.15051920097,0.0001562201758784327,20.0
18,C2C[13]H3O4-,104.00703699215944,104.00705003386985,397.5727858385163,0.0001577418983165653,21.0
21,C2O2F3-,112.98558747902945,112.98558706870824,1402.167656254652,0.00017135911671242285,23.0
24,C4H3O4-,115.00368215435944,115.00367313315122,225.32520488807964,0.00017441984650887088,24.0
26,C4H5O4-,117.01933221849943,117.01931254106778,2600.846303028853,0.00017747689832145762,25.0
28,C3H3O5-,118.99859677391943,118.99859164754886,332.34590928944147,0.0001804787435101227,26.0
29,CH2O6N-,123.98876036620943,123.98869054759633,1305.259434370947,0.00018804695672487788,27.0
30,HO6N2-,124.98400933893944,124.98393144498363,1114563.6599927356,0.0001895564242232344,29.0
32,HO6NN[15]-,125.98104423233944,125.98098224505398,7401.167428368832,0.00019106850053934708,31.0
33,HO5O[17]N2-,125.98822641937944,125.9881521196619,2239.460483658782,0.00019107943510342159,32.0
34,HO5O[18]N2-,126.98825571937942,126.98817858574589,13047.165675268812,0.00019259616839444754,33.0
38,C6H9O3-,129.05571772721942,129.05558255085805,265.9254752806291,0.0001957316339898504,34.0
41,C5H7O4-,131.03498228263942,131.03488147261632,259.517813057785,0.00019873359964753224,35.0
42,C4H5O5-,133.01424683805945,133.01419207050873,3913.6510536884393,0.0002017354856770427,36.0
49,C5H5O5-,145.01424683805945,145.01420620372014,1909.3397793603565,0.00021993522098235371,38.0
52,C5H7O5-,147.02989690219945,147.02984406424585,14275.680413054351,0.00022299225732114332,39.0
55,C2H2O7N-,151.98367498576945,151.98361096553703,423.5494036931462,0.0002305053913411018,40.0
59,C7H9O4-,157.0506323467794,157.05060987665343,182.0874409165557,0.00023819027450348333,41.0
60,C6H7O5-,159.02989690219945,159.02983570257217,3314.7860545036892,0.00024119188412232608,42.0
63,C5H5O6-,161.00916145761943,161.00910950079935,2202.6253393983666,0.0002441938190135325,43.0
64,C6H9O5-,161.04554696633943,161.0454450843554,2512.0845109609186,0.00024424893745583835,44.0
70,C3H4O7N-,165.99932504990943,165.99921796794726,1445.8161470034097,0.00025176206036507496,45.0
75,C7H9O5-,173.04554696633946,173.0454305791867,9590.410635755105,0.00026244867181184463,46.0
76,C6C[13]H9O5-,174.04890180413943,174.0486624375243,291.90775780322576,0.000263970266699469,47.0
77,C6H7O6-,175.0248115217594,175.02468808013697,1374.3539132500628,0.00026545057643813987,48.0
79,C7H11O5-,175.06119703047943,175.06108475223232,263.90283417730626,0.00026550575736935064,49.0
85,C4H6O7N-,180.01497511404946,180.01484521679154,516.535302584172,0.00027301882196343295,51.0
91,C8H11O5-,187.06119703047943,187.06108041936693,2956.3876468154986,0.00028370550426177853,52.0
94,C7H9O6-,189.04046158589938,189.04035187425902,1987.6297541050906,0.000286707199546244,53.0
98,C5H6O7N-,192.01497511404946,192.01489626234113,1845.8833119019305,0.000291218739442514,54.0
102,C5H8O7N-,194.03062517818938,194.03046582228993,265.47175550075025,0.00029427540255168007,56.0
106,C9H11O5-,199.06119703047943,199.0611059125652,270.9328824948149,0.0003019052090317825,58.0
108,C8H9O6-,201.04046158589938,201.0403330233715,1337.1447040649432,0.00030490695901922446,59.0
109,C9H13O5-,201.07684709461944,201.07676906094667,190.5910895651481,0.0003049623276027863,60.0
112,C8H11O6-,203.0561116500394,203.05596167193514,448.71471805737025,0.0003079641069134476,61.0
117,C6H8O7N-,206.03062517818938,206.0304893425965,935.1306969067858,0.00031247543154849425,62.0
120,C5H6O8N-,208.00988973360944,208.00972202819506,1925.7547774229172,0.00031547712677597854,63.0
121,C6H10O7N-,208.04627524232941,208.04610304280183,703.7017253822853,0.0003155324314927685,64.0
127,C5H8O8N-,210.02553979774945,210.02540930722898,8595.878538827686,0.00031853432399283596,65.0
128,C4C[13]H8O8N-,211.02889463554942,211.02861473457793,603.7936591156255,0.0003200556325801532,66.0
131,C10H13O5-,213.07684709461944,213.07681962124764,304.79908862333497,0.0003231621684040303,67.0
133,C9H11O6-,215.0561116500394,215.05588766075803,542.5925285933863,0.0003261635285442022,68.0
138,C9H13O6-,217.07176171417942,217.07158662530847,889.8994417405538,0.000329220698524118,69.0
142,C6H6O8N-,220.00988973360944,220.0097675840844,653.6212993180305,0.0003336769050751922,70.0
143,C7H10O7N-,220.04627524232941,220.04610095863274,1360.2049481355243,0.0003337320747122715,71.0
146,C6H8O8N-,222.02553979774945,222.0253876589215,1515.5131847004263,0.00033673405423302746,72.0
150,C5H6O9N-,224.00480435316945,224.00465494921036,4573.468141071038,0.000339735720962808,73.0
151,C6H10O8N-,224.04118986188942,224.04103098972544,509.0352189900986,0.00033979089248158665,74.0
159,C10H13O6-,229.07176171417942,229.07161412859256,627.4594968141037,0.000347420662029967,75.0
162,C10H15O6-,231.08741177831945,231.0871898329388,856.0734079939954,0.00035047758946743534,76.0
167,C7H8O8N-,234.02553979774945,234.0253530130716,4696.137741901165,0.00035493372740284573,77.0
168,C8H12O7N-,234.06192530646942,234.0617874654642,14768.630261415019,0.00035498877856705673,78.0
170,C7C[13]H12O7N-,235.06528014426945,235.0650170105611,441.79148710781107,0.0003565104731975909,79.0
173,C7H10O8N-,236.04118986188942,236.04101283934074,9011.812362371911,0.00035799077513256087,80.0
178,C6H8O9N-,238.02045441730945,238.02033318097784,867.3371054786026,0.00036099270955857946,81.0
180,C7H12O8N-,238.05683992602943,238.05662647791215,442.3105344676771,0.00036104752514969313,82.0
192,C8H10O8N-,248.04118986188942,248.0410452969791,17054.1490975667,0.0003761904775485595,83.0
195,C7C[13]H10O8N-,249.04454469968945,249.0443043976036,946.7290937556708,0.0003777121062508468,84.0
198,C8H12O8N-,250.05683992602943,250.05667675068207,12140.192934067054,0.0003792476076276798,85.0
199,C9H16O7N-,250.09322543474946,250.09297720398328,578.053697960998,0.0003793027216387744,86.0
201,C7C[13]H12O8N-,251.06019476382943,251.05980733662125,239.77919348018082,0.0003807688835806446,87.0
203,C7H10O9N-,252.03610448144943,252.03582724264885,1321.2843395799848,0.00038224895931981875,88.0
226,C10H14O8N-,276.0724899901694,276.07222190880844,1143.7844484202276,0.0004187039081942367,96.0
229,C9H12O9N-,278.05175454558946,278.05150486624456,7099.165590502819,0.0004217055911785411,97.0
230,C10H16O8N-,278.0881400543094,278.08782341894533,873.2087289826354,0.0004217606248810888,98.0
232,C8C[13]H12O9N-,279.05510938338944,279.0548686230659,410.717678151182,0.0004232275628942784,99.0
237,C9H14O9N-,280.0674046097294,280.06708514027275,2720.382996951342,0.00042476284586321896,101.0
249,C10H14O9N-,292.0674046097294,292.06696429357913,4434.288957076361,0.00044296241109725745,103.0
253,C10H16O9N-,294.08305467386936,294.0826470330758,9215.141822724081,0.0004460191782465663,104.0
