,formula,mz,observed,a,sigma,peak
2,O3N-,61.988366443389424,61.988390780082135,2477333.5017458457,9.401443812808791e-05,4.0
3,O3N[15]-,62.985401336789415,62.98544286736157,8525.939781453319,9.552664629314661e-05,8.0
4,O2O[17]N-,62.992583523829424,62.992628988885,2224.5899816124593,9.553752408977953e-05,9.0
5,O2O[18]N-,63.99261282382943,63.99263926710627,16035.247594594577,9.705418282030426e-05,10.0
7,C3H5O2-,73.02950297937943,73.02954700861495,266.6450818800541,0.00011075999062954282,11.0
9,C4H5O2-,85.02950297937943,85.0296104441405,205.14578687808424,0.00012895978930889813,13.0
10,C2HO4-,88.98803209021943,88.98813724614895,3922.4947684545914,0.00013496352722962133,16.0
15,C4H5O3-,101.02441759893942,101.0245048810663,458.43608193382676,0.00015321840446039784,17.0
16,C3H3O4-,103.00368215435944,103.00379433001717,10370.472982015883,0.00015622026848839337,18.0
21,C2O2F3-,112.98558747902945,112.98569406820272,1187.0055490895145,0.00017135932797640986,21.0
24,C4H3O4-,115.00368215435944,115.00370533890374,284.93853095337664,0.00017441995197222014,22.0
26,C4H5O4-,117.01933221849943,117.0194180512303,2680.7705750423243,0.00017747700597513734,23.0
29,CH2O6N-,123.98876036620943,123.98880668925412,532.9584294903074,0.00018804707201915095,24.0
30,HO6N2-,124.98400933893944,124.9840301860204,1085865.0737359158,0.0001895565406170333,26.0
32,HO6NN[15]-,125.98104423233944,125.98107261108298,6767.506016453312,0.0001910687451774455,29.0
33,HO5O[17]N2-,125.98822641937944,125.98825366058017,2302.836673133915,0.00019107955260871433,30.0
34,HO5O[18]N2-,126.98825571937942,126.98828626113121,13351.748013628005,0.00019259628700874355,31.0
42,C4H5O5-,133.01424683805945,133.01429761430052,4281.981271154579,0.0002017356110175188,32.0
49,C5H5O5-,145.01424683805945,145.01429285051321,1900.5931169185105,0.0002199353599351549,34.0
52,C5H7O5-,147.02989690219945,147.02996576304227,13201.617128912956,0.0002229923985882197,36.0
55,C2H2O7N-,151.98367498576945,151.98371140733505,292.5842528629476,0.00023050553832909044,37.0
60,C6H7O5-,159.02989690219945,159.02995562275495,3472.4233992150116,0.00024119221964810154,38.0
63,C5H5O6-,161.00916145761943,161.00921061214592,3451.3700432414867,0.0002441939765439487,39.0
64,C6H9O5-,161.04554696633943,161.0456219013729,1827.1859771464685,0.00024424927878850073,40.0
70,C3H4O7N-,165.99932504990943,165.99937323224472,1931.0781783199086,0.00025176222378914243,41.0
