formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.01382822962733,46.67204578637531,8.950307372845112e-05,13.0,2.468561210378084e-05
O3N-,61.988366443389424,61.98837488013067,2530341.6202695696,9.401441713303123e-05,16.0,-8.436741246953261e-06
O3N[15]-,62.985401336789415,62.98542454666024,8791.779553363396,9.552657818780364e-05,20.0,-2.3209870825269263e-05
O2O[17]N-,62.992583523829424,62.99260209613377,2259.3567360527873,9.553750091436227e-05,21.0,-1.857230434865187e-05
O2O[18]N-,63.99261282382943,63.992622675601964,16259.357253643984,9.705415743017324e-05,22.0,-9.85177253198799e-06
C4H5O2-,85.02950297937943,85.02956439861053,157.39610501767905,0.0001289597782984336,48.0,-6.141923110192238e-05
C2HO4-,88.98803209021943,88.98812249499748,2537.951274690985,0.00013496350871963224,57.0,-9.040477804944658e-05
C4H5O3-,101.02441759893942,101.02448428601271,15.196835474511387,0.00015321836035627758,81.0,-6.668707328572054e-05
C3H3O4-,103.00368215435944,103.00376496022852,8060.960187291897,0.00015622021978591965,86.0,-8.280586908426812e-05
C4H7O3-,103.04006766307943,103.04015927603082,14.232707019113665,0.00015627540968269488,87.0,-9.161295139392678e-05
C2C[13]H3O4-,104.00703699215944,104.00710583461385,20.815320929416114,0.00015774194091428272,89.0,-6.884245441085568e-05
C2O2F3-,112.98558747902945,112.98566755880137,883.0593751561698,0.00017135925447152485,95.0,-8.007977191937243e-05
C4H3O4-,115.00368215435944,115.00373886746767,32.650601618532505,0.0001744199840236953,99.0,-5.671310823629483e-05
C5H7O3-,115.04006766307943,115.04008287750842,34.70383951051328,0.0001744751097147746,100.0,-1.5214428998433505e-05
C4H5O4-,117.01933221849943,117.01938920612501,1658.2045794273586,0.00017747703552154038,102.0,-5.6987625583815316e-05
C3H3O5-,118.99859677391943,118.99858654488172,56.08565255714674,0.00018047876361443555,105.0,1.02290377128611e-05
CH2O6N-,123.98876036620943,123.98875253833081,1131.2493960335105,0.00018804709230020402,110.0,7.827878619082185e-06
HO6N2-,124.98400933893944,124.98400050713562,1160033.7503706794,0.00018955643386525726,114.0,8.831803825160023e-06
HO6NN[15]-,125.98104423233944,125.98103774401955,7742.674013807006,0.00019106863549956274,117.0,6.488319897357542e-06
HO5O[17]N2-,125.98822641937944,125.98822505048376,2292.3283753700207,0.00019107957006129106,118.0,1.3688956812529796e-06
HO5O[18]N2-,126.98825571937942,126.9882549669806,13900.702375026325,0.00019259617435012295,119.0,7.523988188040676e-07
C5H5O4-,129.01933221849944,129.01938798158437,43.20736908643121,0.00019567680913997872,122.0,-5.5763084930049445e-05
C6H9O3-,129.05571772721942,129.0557099608759,61.42386722456307,0.00019573189969476683,123.0,7.766343514958862e-06
C3F5-,130.99256467990944,130.99252801987893,13.711094311596455,0.00019866928174118513,126.0,3.6660030502844165e-05
C5H7O4-,131.03498228263942,131.035000244368,22.734616674370372,0.00019873373275240965,127.0,-1.796172858803402e-05
C4H5O5-,133.01424683805945,133.0142673702266,3116.543702516794,0.00020173561794136928,128.0,-2.0532167155806746e-05
CO5N3-,133.98434369210943,133.98434381421703,163.80174282469028,0.00020320682890394648,132.0,-1.221075933699467e-07
C5H5O5-,145.01424683805945,145.01426546784836,1112.5503046217336,0.00021993534680969214,142.0,-1.8629788911539436e-05
C5H7O5-,147.02989690219945,147.02992836911983,12541.761426660816,0.00022299238184572036,146.0,-3.146692037603316e-05
C4C[13]H7O5-,148.03325173999946,148.033263371161,127.39789212290273,0.00022451400299259804,149.0,-1.1631161555669678e-05
C2H2O7N-,151.98367498576945,151.9836809724515,61.37114981428225,0.00023050551239909556,151.0,-5.986682054981429e-06
C7H7O4-,155.03498228263942,155.03504655862747,12.6514051707988,0.0002351333455356074,152.0,-6.427598805203161e-05
C6H7O5-,159.02989690219945,159.0299053335354,2740.5836238078923,0.0002411919996108804,155.0,-8.43133594230494e-06
C7H11O4-,159.06628241091943,159.06627622627278,13.644073727983512,0.00024124718701175712,156.0,6.184646650808645e-06
C5H5O6-,161.00916145761943,161.00917829087015,2481.537901768169,0.00024419393280466264,157.0,-1.6833250725767357e-05
C6H9O5-,161.04554696633943,161.04555791264616,1326.814857486517,0.0002442490512152623,158.0,-1.0946306730375e-05
C3O2F5-,162.98239391902945,162.98245945562303,28.17732054844927,0.00024718676817487905,159.0,-6.55365935813279e-05
C5H7O6-,163.0248115217594,163.02474837503132,11.55080922690078,0.000247250950595892,160.0,6.314672808116484e-05
C8H5O4-,165.01933221849944,165.01934789154276,7.091662564718427,0.00025027593703429754,161.0,-1.567304332183994e-05
C3H4O7N-,165.99932504990943,165.99931457810447,659.6231015701779,0.00025176216962179506,162.0,1.0471804955614061e-05
C7H7O5-,171.02989690219945,171.029868136036,102.08338024541631,0.00025939189121421195,166.0,2.8766163467253136e-05
C8H11O4-,171.06628241091943,171.06625904171668,31.250890947473696,0.00025944700418301634,167.0,2.3369202750700424e-05
C7H9O5-,173.04554696633946,173.04552279255424,8729.578182318177,0.00026244877405273064,168.0,2.4173785220682475e-05
C6C[13]H9O5-,174.04890180413943,174.04887219473946,205.5998242402351,0.0002639705743421232,169.0,2.9609399973651307e-05
C6H7O6-,175.0248115217594,175.02478888483267,1586.5698361888424,0.0002654506765808914,170.0,2.2636926729546758e-05
C7H9O4O[18]-,175.04979334677944,175.04977609747493,15.302121293597072,0.0002654885725506954,171.0,1.7249304505639884e-05
C7H11O5-,175.06119703047943,175.06112387022827,69.80728916419962,0.000265505857473016,173.0,7.316025116210767e-05
C6H9O6-,177.04046158589938,177.04040058681127,13.056988327842834,0.000268507555885369,175.0,6.099908810597299e-05
C4H6O7N-,180.01497511404946,180.01499468281096,60.18014589981064,0.0002730191337362625,178.0,-1.956876150188691e-05
C8H9O5-,185.04554696633946,185.04550675474795,150.81115325368387,0.0002806484619751715,183.0,4.021159151079701e-05
C7H7O6-,187.0248115217594,187.0247711566025,35.75315247566443,0.00028365038921943797,185.0,4.036515690586384e-05
C8H11O5-,187.06119703047943,187.06119290547278,2418.789567658244,0.00028370559046662783,186.0,4.125006654476238e-06
C7C[13]H11O5-,188.0645518682794,188.06454979986282,12.148047804961692,0.00028522741100981384,187.0,2.068416591782807e-06
C7H9O6-,189.04046158589938,189.04043929041933,1569.5507926171629,0.00028670751696759577,189.0,2.229548005061588e-05
C5H6O7N-,192.01497511404946,192.01497515161157,940.5654300268048,0.0002912188193328587,191.0,-3.7562102761512506e-08
C4C[13]H6O7N-,193.01832995184944,193.0182588669537,12.858159250085558,0.0002927403214983625,192.0,7.108489575102794e-05
C5H8O7N-,194.03062517818938,194.0305603778375,76.17763985236834,0.0002942757227917428,195.0,6.480035187905742e-05
C9H11O5-,199.06119703047943,199.061122929404,79.00992437145639,0.00030190527937222754,199.0,7.410107542682454e-05
