formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.98837534005323,2521355.9936094936,9.401440611753265e-05,11.0,-8.896663807433924e-06
O3N[15]-,62.985401336789415,62.985425692960995,8696.941011820736,9.552661223595518e-05,13.0,-2.4356171579142938e-05
O2O[17]N-,62.992583523829424,62.99260458957801,2573.547256643336,9.55374900177344e-05,14.0,-2.106574858373733e-05
O2O[18]N-,63.99261282382943,63.99262282790667,15949.86454485222,9.705414665895153e-05,15.0,-1.0004077239500475e-05
C3H5O2-,73.02950297937943,73.02953821395758,14.148121140989149,0.00011075999009501315,26.0,-3.523457814935682e-05
C2H3O3-,75.00876753479943,75.00880144466747,73.80815302565338,0.00011376180229609277,28.0,-3.390986803708529e-05
C4H5O2-,85.02950297937943,85.02957611700582,60.02010811219167,0.0001289597717049384,41.0,-7.313762638716526e-05
C2HO4-,88.98803209021943,88.98811917533415,2442.3842567008364,0.0001349635032223934,46.0,-8.708511471411384e-05
C5H5O2-,97.02950297937944,97.02955402982178,12.189323436839068,0.00014715950358245975,55.0,-5.105044233744138e-05
C4H5O3-,101.02441759893942,101.02448065418662,27.15019283887047,0.0001532183587528664,61.0,-6.305524719607547e-05
C3H3O4-,103.00368215435944,103.00376056111595,7645.461407672256,0.00015622021890106334,63.0,-7.840675651493711e-05
C2C[13]H3O4-,104.00703699215944,104.00712056330089,21.102807308367705,0.00015774203577407055,66.0,-8.357114144530442e-05
C2O2F3-,112.98558747902945,112.9856609493836,819.1615159527597,0.00017135925753422485,82.0,-7.347035415250502e-05
C4H3O4-,115.00368215435944,115.00371769422632,56.14584879259286,0.00017441998794875052,88.0,-3.553986688586974e-05
C5H7O3-,115.04006766307943,115.04012786556177,29.343317754658205,0.00017447511365555589,89.0,-6.020248234506198e-05
C4H5O4-,117.01933221849943,117.01938480944646,1871.7939162854598,0.0001774770403290422,94.0,-5.259094703546907e-05
C3H3O5-,118.99859677391943,118.99860291564563,38.90146393705364,0.0001804787693087827,96.0,-6.1417262031682185e-06
CH2O6N-,123.98876036620943,123.98874835463769,1184.410132677689,0.000188047100319048,101.0,1.2011571740799809e-05
HO6N2-,124.98400933893944,124.98399862044897,1180144.5191650388,0.0001895564423626601,106.0,1.0718490472072517e-05
HO6NN[15]-,125.98104423233944,125.98103734819377,7793.799366461124,0.0001910686444813826,110.0,6.884145676622211e-06
HO5O[17]N2-,125.98822641937944,125.98822747001664,2064.304375989375,0.00019107957904663172,111.0,-1.0506371950214088e-06
HO5O[18]N2-,126.98825571937942,126.98825390858124,14774.511971793354,0.00019259618382628447,112.0,1.8107981816228857e-06
C5H5O4-,129.01933221849944,129.01938162165067,30.810610771036938,0.00019567668786059486,114.0,-4.9403151223259556e-05
C6H9O3-,129.05571772721942,129.05571357403136,77.2273111558951,0.0001957319102014089,115.0,4.1531880583534075e-06
C4H5O5-,133.01424683805945,133.0142641897631,2911.3486835939343,0.0002017356304793611,117.0,-1.7351703661461215e-05
