formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.013813842204364,21.400811527102306,8.95030823683625e-05,12.0,3.907303506878179e-05
O3N-,61.988366443389424,61.98837467080746,2509968.9313917467,9.401442679551135e-05,14.0,-8.22741803574445e-06
O3N[15]-,62.985401336789415,62.985423882401605,9056.829421110515,9.552658820243128e-05,17.0,-2.254561218961726e-05
O2O[17]N-,62.992583523829424,62.99260273764361,2503.893393709426,9.55374659782092e-05,18.0,-1.921381418412693e-05
O2O[18]N-,63.99261282382943,63.99262240439638,15747.126098692115,9.705416780526306e-05,19.0,-9.58056694599918e-06
C3H5O2-,73.02950297937943,73.02954141020513,38.11227696875306,0.00011075995712454083,33.0,-3.8430825696877946e-05
C2H3O3-,75.00876753479943,75.00880531986076,54.35476239495472,0.00011376182585359198,37.0,-3.778506132334769e-05
C4H5O2-,85.02950297937943,85.0295808022879,171.18673398228646,0.00012895979722876938,46.0,-7.782290846591877e-05
C2HO4-,88.98803209021943,88.98811982671306,2719.8591266226167,0.0001349634539876717,52.0,-8.773649362581182e-05
C4H5O3-,101.02441759893942,101.02447206128062,90.12269264346634,0.00015321838700017783,63.0,-5.4462341196881425e-05
C3H3O4-,103.00368215435944,103.00376295878469,7833.292851820446,0.0001562202474516863,65.0,-8.080442525226772e-05
C2C[13]H3O4-,104.00703699215944,104.00710812056938,37.00309976105565,0.0001577419691035454,66.0,-7.112840994238923e-05
C2O2F3-,112.98558747902945,112.98565917532994,852.2814398775291,0.0001713592875065526,74.0,-7.169630049475018e-05
C5H5O3-,113.02441759893942,113.02448175374303,9.644802180615779,0.00017141815428675436,76.0,-6.415480360999481e-05
C4H3O4-,115.00368215435944,115.00368041369501,77.39395894636083,0.0001744199072964936,79.0,1.7406644303719077e-06
C5H7O3-,115.04006766307943,115.0401404986613,20.63785805650566,0.0001744751438986121,80.0,-7.283558187509698e-05
C4H5O4-,117.01933221849943,117.01938231872758,1689.2860583247314,0.00017747695700733151,81.0,-5.010022815099546e-05
C3H3O5-,118.99859677391943,118.99855408886357,18.436297330229827,0.000180478683334489,87.0,4.268505585969251e-05
CH2O6N-,123.98876036620943,123.98875222206429,782.9079592291046,0.00018804700752017746,92.0,8.144145141386616e-06
HO6N2-,124.98400933893944,124.98400139387377,1153397.5723586793,0.00018955647381386148,95.0,7.945065675585283e-06
HO6NN[15]-,125.98104423233944,125.98103875877904,7432.073529425171,0.00019106867604454477,99.0,5.473560406699107e-06
HO5O[17]N2-,125.98822641937944,125.98822961141073,2315.4747633685924,0.0001910796106105974,100.0,-3.1920312864031075e-06
HO5O[18]N2-,126.98825571937942,126.9882549652589,13642.75606977279,0.0001925962155008717,101.0,7.541205206962331e-07
HO4O[18]2N2-,128.99250209981943,128.99247118194504,9.065569319182945,0.00019563587816750905,104.0,3.091787439757354e-05
C5H5O4-,129.01933221849944,129.01933684547612,34.43252888578805,0.00019567671975480438,105.0,-4.626976675581318e-06
C6H9O3-,129.05571772721942,129.05574464866095,130.22186618432204,0.0001957319420994937,106.0,-2.6921441531158052e-05
C5H7O4-,131.03498228263942,131.03504092270686,35.17125246168575,0.00019873377637066744,107.0,-5.864006743649952e-05
C4H5O5-,133.01424683805945,133.01426636541953,3211.334606656733,0.00020173552485107501,109.0,-1.9527360080928702e-05
CO5N3-,133.98434369210943,133.9843494535262,64.38457329127849,0.00020320687435406863,110.0,-5.761416758787163e-06
C7H9O3-,141.05571772721942,141.05575313111703,11.886909963770593,0.00021393160968734767,114.0,-3.54038976126958e-05
C5H5O5-,145.01424683805945,145.0142724412219,1202.8789176979326,0.00021993539935562898,117.0,-2.5603162441711902e-05
C5H7O5-,147.02989690219945,147.02993003835743,12554.815611297361,0.0002229924357293623,119.0,-3.313615798106184e-05
C4C[13]H7O5-,148.03325173999946,148.03328502477763,203.69952423569862,0.00022451405754671938,120.0,-3.328477816921804e-05
C2H2O7N-,151.98367498576945,151.98370951938597,147.09891001060444,0.00023050556962306003,123.0,-3.453361651395426e-05
C6H5O5-,157.01424683805945,157.0142566796089,12.671777259522607,0.00023813507210826952,127.0,-9.841549456268694e-06
C6H7O5-,159.02989690219945,159.02991084192467,2522.4006095287045,0.0002411920617131355,131.0,-1.3939725221234767e-05
C5C[13]H7O5-,160.03325173999946,160.0332655684479,26.706597338193752,0.00024271391490368307,132.0,-1.3828448430786011e-05
C5H5O6-,161.00916145761943,161.0091863733577,2246.520959794557,0.00024419399630372666,133.0,-2.4915738265463006e-05
C6H9O5-,161.04554696633943,161.04556237029362,1638.615687435353,0.00024424911474008054,134.0,-1.5403954193971003e-05
C3O2F5-,162.98239391902945,162.98246334994272,50.39225200035628,0.0002471866459936241,136.0,-6.943091327116235e-05
C3H4O7N-,165.99932504990943,165.9993046394052,750.6694068641322,0.0002517622366931311,141.0,2.041050422008084e-05
C7H7O5-,171.02989690219945,171.02989085064692,120.18644362539813,0.0002593917608493539,145.0,6.051552531971538e-06
C7H9O5-,173.04554696633946,173.04552592428007,9045.874353130077,0.0002624488462902474,147.0,2.104205938735504e-05
C6C[13]H9O5-,174.04890180413943,174.04888299907105,147.62271538220222,0.00026397064732678835,149.0,1.880506837892426e-05
C6H7O6-,175.0248115217594,175.0247781453731,1535.440663841753,0.000265450750294952,150.0,3.3376386312511386e-05
C7H11O5-,175.06119703047943,175.06116703755177,37.37088875603915,0.0002655059312143215,151.0,2.9992927665034586e-05
C4H6O7N-,180.01497511404946,180.0149040773503,53.163807630414816,0.00027301877689290416,154.0,7.103669915409228e-05
C8H9O5-,185.04554696633946,185.04550520414855,209.81406933904657,0.0002806485433321012,159.0,4.1762190903682495e-05
C7H7O6-,187.0248115217594,187.024828940247,70.72279963845132,0.00028365047211868614,161.0,-1.7418487601617016e-05
C8H11O5-,187.06119703047943,187.0611783265,2438.3357726221116,0.00028370567339433696,162.0,1.8703979435485962e-05
C7H9O6-,189.04046158589938,189.04045339962076,1732.194044075787,0.000286707367748984,163.0,8.186278620314624e-06
C5H6O7N-,192.01497511404946,192.01495592343923,1206.717350410415,0.00029121866693076077,166.0,1.9190610231589744e-05
C5H8O7N-,194.03062517818938,194.03058779073052,75.98977068288765,0.00029427581123514263,169.0,3.738745886039396e-05
C9H11O5-,199.06119703047943,199.06124247328205,79.1683181836677,0.0003019053718774975,174.0,-4.544280261598033e-05
C8H9O6-,201.04046158589938,201.04046179314315,1408.2725939498016,0.00030490712068017927,175.0,-2.0724377236547298e-07
C9H13O5-,201.07684709461944,201.07679550929623,109.24140951567577,0.0003049622328708187,176.0,5.1585323205927125e-05
C8H11O6-,203.0561116500394,203.0561118140464,787.8977769179916,0.0003079642673253246,177.0,-1.64006991099086e-07
C6H8O7N-,206.03062517818938,206.03061729108848,910.2206497924419,0.00031247559003934534,179.0,7.887100906600608e-06
C5H6O8N-,208.00988973360944,208.0098600369025,1902.2985413416695,0.00031547728393753927,182.0,2.969670694596971e-05
C6H10O7N-,208.04627524232941,208.04621802188367,654.3345279636513,0.00031553258862945615,183.0,5.7220445739858405e-05
C5H8O8N-,210.02553979774945,210.0255127141098,8037.199672090133,0.0003185344797587914,184.0,2.708363965098215e-05
C10H13O5-,213.07684709461944,213.07675658581263,246.3505494702988,0.00032316204231818394,186.0,9.050880680661066e-05
C9H11O6-,215.0561116500394,215.05605313932244,607.6246734305067,0.00032616396420993653,187.0,5.851071696838517e-05
C10H15O5-,215.09249715875941,215.09245346206913,47.866760338106126,0.0003262192664298948,188.0,4.369669028392309e-05
C9H13O6-,217.07176171417942,217.07172604379087,863.3677886648146,0.00032922113664474,189.0,3.567038854157545e-05
