formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.013791903723316,48.63524669108553,8.950304104456893e-05,6.0,6.101151611659361e-05
O3N-,61.988366443389424,61.98837524519152,2522874.926174972,9.401442701979176e-05,9.0,-8.801802096058964e-06
O3N[15]-,62.985401336789415,62.985423939193,8776.299658123673,9.552658870313426e-05,13.0,-2.2602403582538955e-05
O2O[17]N-,62.992583523829424,62.99260265219685,2512.5498305732094,9.553746648092407e-05,14.0,-1.9128367426901605e-05
O2O[18]N-,63.99261282382943,63.99262299632199,16371.187278925334,9.705416859175808e-05,15.0,-1.0172492558524482e-05
C3H5O2-,73.02950297937943,73.02954869891138,22.511318118876336,0.00011075996076165726,22.0,-4.571953195409151e-05
C2H3O3-,75.00876753479943,75.00879978713786,66.93693978828539,0.00011376183018188474,24.0,-3.22523384284068e-05
C4H5O2-,85.02950297937943,85.0295745059004,162.82292809959336,0.0001289598054078977,27.0,-7.152652096920065e-05
C2HO4-,88.98803209021943,88.98812146097865,3123.136278223021,0.00013496346384450067,30.0,-8.937075921267024e-05
C4H5O3-,101.02441759893942,101.02448894568242,48.94925595580134,0.0001532184024763969,37.0,-7.13467429989123e-05
C3H3O4-,103.00368215435944,103.00376293172859,8320.513371370638,0.00015622026392428498,40.0,-8.077736914913203e-05
C2C[13]H3O4-,104.00703699215944,104.00711687070373,23.88531387806455,0.00015774198608884142,42.0,-7.987854428392893e-05
C2O2F3-,112.98558747902945,112.98567105576795,1162.6718780868603,0.0001713593093033202,50.0,-8.357673850412084e-05
C5H7O3-,115.04006766307943,115.04008815329973,36.76199442370321,0.0001744751668518207,52.0,-2.0490220308033713e-05
C4H5O4-,117.01933221849943,117.01939205136969,1742.8065122734322,0.00017747698109382766,53.0,-5.983287026367634e-05
CH2O6N-,123.98876036620943,123.98875003719398,862.7603436769009,0.00018804703574468553,57.0,1.0329015452725798e-05
HO6N2-,124.98400933893944,124.98399953259688,1140260.0456630702,0.00018955650264778772,60.0,9.806342561091697e-06
HO6NN[15]-,125.98104423233944,125.98103624957794,7486.009734012341,0.0001910687054935701,62.0,7.982761502489666e-06
HO5O[17]N2-,125.98822641937944,125.98822758136052,2342.4269241789307,0.00019107951291252458,63.0,-1.1619810749152748e-06
HO5O[18]N2-,126.98825571937942,126.98825527920167,13674.2727801245,0.00019259624557586675,65.0,4.4017775735483156e-07
C6H9O3-,129.05571772721942,129.05572357263492,75.31672982668805,0.0001957318416505309,67.0,-5.845415500971285e-06
C3F5-,130.99256467990944,130.99260452019183,38.43669167083974,0.00019866949274476606,69.0,-3.984028239756299e-05
C5H7O4-,131.03498228263942,131.0349855332181,46.51255036489669,0.000198733674139731,70.0,-3.2505786862202513e-06
C4H5O5-,133.01424683805945,133.01426632308008,3021.8638537492425,0.00020173555876750067,72.0,-1.948502062987245e-05
CO5N3-,133.98434369210943,133.98440338867834,228.72693353273485,0.00020320690890418568,73.0,-5.9696568911249415e-05
C5H5O5-,145.01424683805945,145.01425931175729,1286.8509728135164,0.00021993528438591796,76.0,-1.2473697836412612e-05
C5H7O5-,147.02989690219945,147.02992552310218,13570.940611163041,0.00022299231890124198,78.0,-2.862090272515161e-05
C4C[13]H7O5-,148.03325173999946,148.03332507776682,256.7747065320541,0.00022451410173569874,79.0,-7.333776736118125e-05
C2H2O7N-,151.98367498576945,151.98366842280015,93.21096903281637,0.00023050544820501956,81.0,6.562969304013677e-06
C6H7O5-,159.02989690219945,159.0299073736141,2452.9789798459356,0.00024119211403213396,85.0,-1.0471414640278454e-05
C5H5O6-,161.00916145761943,161.0091805965113,2414.1521341691487,0.00024419386644202644,86.0,-1.9138891872216846e-05
C6H9O5-,161.04554696633943,161.04555974494986,1313.945814625288,0.00024424916860338433,87.0,-1.2778610425812076e-05
C3H4O7N-,165.99932504990943,165.9992801069052,695.1294457896139,0.00025176210211891304,88.0,4.4943004240849405e-05
C7H7O5-,171.02989690219945,171.02985789591872,97.82006814861464,0.0002593918226033367,90.0,3.900628072983636e-05
C7H9O5-,173.04554696633946,173.04552273775474,9250.618362062583,0.0002624489096852603,91.0,2.4228584720731305e-05
C6C[13]H9O5-,174.04890180413943,174.04885277393046,262.37472416633886,0.00026397050508608475,93.0,4.9030208970179956e-05
C6H7O6-,175.0248115217594,175.02478960702916,1905.4486050050587,0.0002654506071194395,94.0,2.191473024026891e-05
C7H11O5-,175.06119703047943,175.0612878518689,29.226730144955205,0.0002655059962662741,95.0,-9.082138947746898e-05
C8H9O5-,185.04554696633946,185.0455315952959,235.57899626525239,0.0002806486168228347,101.0,1.537104355975316e-05
