formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.98837535291501,2518678.399340716,9.401442381355724e-05,7.0,-8.909525583078448e-06
O3N[15]-,62.985401336789415,62.98542439951783,8799.45999097954,9.5526585304842e-05,9.0,-2.306272841678947e-05
O2O[17]N-,62.992583523829424,62.99260545389786,2489.2534313598776,9.553750803458203e-05,10.0,-2.193006843498324e-05
O2O[18]N-,63.99261282382943,63.992621948499504,15399.397619155732,9.705416499607634e-05,11.0,-9.124670071969376e-06
C3H3O2-,71.01385291523944,71.01388087216749,37.544506738194464,0.0001077029096806608,15.0,-2.7956928050798524e-05
C2H3O3-,75.00876753479943,75.00881161346237,40.23108442502346,0.00011376182421306956,18.0,-4.40786629383183e-05
C4H5O2-,85.02950297937943,85.02956809051449,284.9413195854822,0.00012895972645755212,27.0,-6.511113505780486e-05
C2HO4-,88.98803209021943,88.98812132825859,2739.9657644192944,0.00013496345433173146,30.0,-8.923803915195094e-05
C4H5O3-,101.02441759893942,101.02445407983782,47.74058802646394,0.00015321838946976145,36.0,-3.6480898401691775e-05
C3H3O4-,103.00368215435944,103.00376387865903,7894.455037373494,0.00015622025030587237,37.0,-8.172429959074634e-05
C4H7O3-,103.04006766307943,103.04015907809232,67.08251234482765,0.0001562754402287311,38.0,-9.141501288922882e-05
C2O2F3-,112.98558747902945,112.98565999102154,853.0680972788676,0.00017135929244550263,44.0,-7.251199208724302e-05
C4H3O4-,115.00368215435944,115.00372099166732,120.46783132997857,0.0001744199126857217,46.0,-3.883730788345474e-05
C5H7O3-,115.04006766307943,115.04007560946042,34.54968472439552,0.00017447503835287567,47.0,-7.946380989665158e-06
C4H5O4-,117.01933221849943,117.01938587718675,1987.287967310283,0.00017747696285578396,49.0,-5.3658687320989884e-05
CH2O6N-,123.98876036620943,123.98875289171795,1161.5205795123618,0.00018804701502826067,52.0,7.474491482639678e-06
HO6N2-,124.98400933893944,124.98399941454717,1169235.0463314238,0.00018955648156791606,56.0,9.924392273319427e-06
HO6NN[15]-,125.98104423233944,125.98103746471058,7994.164039870812,0.0001910686840472364,60.0,6.7676288608709e-06
HO5O[17]N2-,125.98822641937944,125.98822020053137,2310.6883563780248,0.00019107949146356332,61.0,6.218848071171124e-06
HO5O[18]N2-,126.98825571937942,126.98825425814677,13960.901199320397,0.0001925962237569688,62.0,1.4612326566521006e-06
C6H7O3-,127.04006766307943,127.04002945024915,19.41444214032529,0.00019267473547644002,63.0,3.8212830276052046e-05
C5H5O4-,129.01933221849944,129.01935176080775,97.97773210884723,0.0001956767285287624,64.0,-1.9542308308473366e-05
C6H9O3-,129.05571772721942,129.05567707639423,28.30592599527768,0.00019573181905939595,65.0,4.065082518422969e-05
C5H7O4-,131.03498228263942,131.0350230022097,15.65067246690016,0.00019873378566751608,66.0,-4.0719570279179607e-05
C4H5O5-,133.01424683805945,133.01426734758715,3368.437957192043,0.00020173553466998353,68.0,-2.050952770105141e-05
CO5N3-,133.98434369210943,133.98440730107671,146.8867650133,0.0002032068844319752,69.0,-6.360896728097032e-05
C5H5O5-,145.01424683805945,145.01425384800345,1098.20193923665,0.000219935255503855,71.0,-7.009943999491952e-06
