formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.98837511237425,2492787.095992627,9.40144239365964e-05,5.0,-8.668984825987991e-06
O3N[15]-,62.985401336789415,62.9854255409869,9026.571742743361,9.55265855345583e-05,9.0,-2.4204197487165402e-05
O2O[17]N-,62.992583523829424,62.99260312054381,2295.577407691393,9.553746331173085e-05,10.0,-1.9596714388114833e-05
O2O[18]N-,63.99261282382943,63.9926230945696,15951.622056359007,9.705416533607158e-05,11.0,-1.0270740169460169e-05
C2H3O3-,75.00876753479943,75.00881062421516,68.0207754916739,0.00011376182591886876,17.0,-4.3089415726171865e-05
C4H5O2-,85.02950297937943,85.02958972143722,108.97686490293975,0.0001289598001460487,25.0,-8.674205778902433e-05
C2HO4-,88.98803209021943,88.98811742174102,2656.657971963737,0.00013496345816755155,31.0,-8.533152158918256e-05
C4H5O3-,101.02441759893942,101.0244770274901,68.48405858258195,0.0001532183954693107,37.0,-5.942855067075925e-05
C3H3O4-,103.00368215435944,103.00376514591682,8246.340961033384,0.00015622025668898215,39.0,-8.299155737745423e-05
C2O2F3-,112.98558747902945,112.9856555382494,1212.3088441510245,0.00017135930087781954,45.0,-6.805921995578501e-05
C4H3O4-,115.00368215435944,115.00371153930642,134.42863695751532,0.00017441992155511335,47.0,-2.9384946984123417e-05
C4H5O4-,117.01933221849943,117.0193887629508,1373.6573345739034,0.00017747697216923455,49.0,-5.65444513682678e-05
CH2O6N-,123.98876036620943,123.98875546382453,1313.3743944875594,0.00018804702593391083,50.0,4.9023849015839005e-06
HO6N2-,124.98400933893944,124.98399879651559,1162337.3331902875,0.0001895564927080359,53.0,1.0542423851234162e-05
HO6NN[15]-,125.98104423233944,125.98103880633204,8095.268058524778,0.00019106869542400725,56.0,5.426007405162636e-06
HO5O[17]N2-,125.98822641937944,125.98821923677176,2058.012135011471,0.00019107950284203177,57.0,7.182607689060205e-06
HO5O[18]N2-,126.98825571937942,126.98825434398654,13370.482607638794,0.00019259623537456843,58.0,1.37539288402877e-06
C5H5O4-,129.01933221849944,129.0193833122467,50.44934000402159,0.0001956767406374337,60.0,-5.109374725975613e-05
C6H9O3-,129.05571772721942,129.05572373667638,23.30745208341513,0.00019573183117691493,61.0,-6.00945696760391e-06
C4H5O5-,133.01424683805945,133.01426801121247,2995.6711877859652,0.00020173554776540116,62.0,-2.1173153015752177e-05
CO5N3-,133.98434369210943,133.98434174479254,175.0290254914723,0.00020320689777116296,63.0,1.947316889072681e-06
C5H5O5-,145.01424683805945,145.0142522992174,829.9487967398007,0.00021993527172621145,67.0,-5.4611579400898336e-06
C5H7O5-,147.02989690219945,147.02992996150005,12933.299052314189,0.00022299230595508465,69.0,-3.305930059127604e-05
C4C[13]H7O5-,148.03325173999946,148.03328664578456,177.00291680219019,0.00022451408864610184,71.0,-3.490578509968145e-05
C2H2O7N-,151.98367498576945,151.98361921294463,31.022799747386927,0.00023050543454527687,74.0,5.577282482249757e-05
C6H7O5-,159.02989690219945,159.02991935295944,2558.8506306972577,0.00024119209933426582,75.0,-2.2450759985304103e-05
C5H5O6-,161.00916145761943,161.00918381768926,2254.428958700373,0.0002441940351447458,76.0,-2.2360069834803653e-05
C6H9O5-,161.04554696633943,161.04556842383235,1795.591209917275,0.0002442491536036275,77.0,-2.1457492920262666e-05
C3H4O7N-,165.99932504990943,165.99931563449928,738.4145664460214,0.0002517622786707789,78.0,9.41541014753966e-06
C7H7O5-,171.02989690219945,171.02989268618592,88.13536341291173,0.0002593918060765781,81.0,4.21601353650658e-06
C7H9O5-,173.04554696633946,173.04552417440615,9363.736942819172,0.0002624488928439231,82.0,2.279193330423368e-05
C6C[13]H9O5-,174.04890180413943,174.0488824191644,162.441929539724,0.00026397048808739443,83.0,1.9384975018965633e-05
C6H7O6-,175.0248115217594,175.02478162999617,1534.1253122787546,0.00026545058996719253,84.0,2.989176323353604e-05
C7H11O5-,175.06119703047943,175.06111460920738,71.39557719010516,0.0002655057708459542,86.0,8.242127205448924e-05
C4H6O7N-,180.01497511404946,180.0150162679736,61.03983750896802,0.00027301904530319457,88.0,-4.1153924144055054e-05
C8H9O5-,185.04554696633946,185.04553377451958,298.2019110949718,0.00028064859806592864,89.0,1.3191819874691646e-05
C7H7O6-,187.0248115217594,187.02476636408784,106.3241471382127,0.00028365029827599834,90.0,4.515767156476613e-05
C8H11O5-,187.06119703047943,187.06119081261073,2687.210950639072,0.00028370572954914243,91.0,6.217868701696716e-06
C7C[13]H11O5-,188.0645518682794,188.0645306146935,18.14696042152226,0.00028522731969844,92.0,2.125358591342774e-05
C7H9O6-,189.04046158589938,189.04045226303595,1717.837912875391,0.0002867074253119365,93.0,9.322863434135797e-06
C5H6O7N-,192.01497511404946,192.01497157335044,820.5353943909537,0.000291218726634002,95.0,3.540699026416405e-06
C5H8O7N-,194.03062517818938,194.03060733934498,134.1139118452401,0.0002942758724050371,98.0,1.7838844399875597e-05
C9H11O5-,199.06119703047943,199.06128732853273,132.2495068990713,0.0003019054367644398,101.0,-9.029805329419105e-05
C8H9O6-,201.04046158589938,201.04045424291556,1247.5655065055926,0.00030490718705160466,102.0,7.342983820990412e-06
C9H13O5-,201.07684709461944,201.07684050288208,172.3469234246872,0.00030496229926961493,103.0,6.5917373603952e-06
C8H11O6-,203.0561116500394,203.0561019658823,701.9234988797805,0.00030796433522133727,104.0,9.684157106448765e-06
