formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.98837635262928,2503460.405032858,9.401444351337492e-05,11.0,-9.909239857108787e-06
O3N[15]-,62.985401336789415,62.985425807885264,8332.11907588437,9.55266053203229e-05,14.0,-2.4471095848355162e-05
O2O[17]N-,62.992583523829424,62.99260209709524,2577.1432818697526,9.55374830989897e-05,15.0,-1.8573265812449335e-05
O2O[18]N-,63.99261282382943,63.99262440408262,15969.109306282442,9.70541853304103e-05,16.0,-1.1580253186593836e-05
C3H5O2-,73.02950297937943,73.02952135238729,56.99039297907877,0.0001107599223268387,19.0,-1.8373007861782753e-05
C2H3O3-,75.00876753479943,75.00880352038939,121.91483370486453,0.00011376178962182258,20.0,-3.5985589960318975e-05
C4H5O2-,85.02950297937943,85.02957022401161,147.82190676406427,0.0001289597534453201,23.0,-6.724463217722132e-05
C2HO4-,88.98803209021943,88.98812092106773,2781.3301515390153,0.00013496348257023132,27.0,-8.883084829847121e-05
C3H3O4-,103.00368215435944,103.00376362599592,8037.7757692391015,0.0001562202829697493,34.0,-8.14716364772039e-05
C2O2F3-,112.98558747902945,112.9856549932466,867.8186209872257,0.00017135922027382988,39.0,-6.751421715023298e-05
C4H3O4-,115.00368215435944,115.00369770949477,95.48703330323208,0.0001744199491350318,41.0,-1.5555135334466286e-05
C5H7O3-,115.04006766307943,115.04012380157765,19.88552670032399,0.0001744751857568484,42.0,-5.613849822339034e-05
C4H5O4-,117.01933221849943,117.01939053979441,1811.6846381462474,0.0001774769999406422,43.0,-5.8321294986285466e-05
C3H3O5-,118.99859677391943,118.99863104249017,27.589519589745397,0.00018047884407027516,45.0,-3.426857074373402e-05
CH2O6N-,123.98876036620943,123.98874517492523,1511.1741777744078,0.00018804705430993938,46.0,1.5191284205684497e-05
HO6N2-,124.98400933893944,124.98399755127923,1135955.4813534333,0.0001895565211632328,51.0,1.1787660213258278e-05
HO6NN[15]-,125.98104423233944,125.98103344424264,7816.674203726814,0.00019106859681609564,54.0,1.0788096801661595e-05
HO5O[17]N2-,125.98822641937944,125.98821509458234,2214.5563831014374,0.00019107953137531179,55.0,1.132479710008738e-05
HO5O[18]N2-,126.98825571937942,126.98825242134946,13505.662672241182,0.00019259626398382448,56.0,3.298029966458671e-06
C5H5O4-,129.01933221849944,129.01929138649388,28.533791486870236,0.00019567663762787765,58.0,4.0832005566926455e-05
C6H9O3-,129.05571772721942,129.05568099027172,65.75190422386487,0.00019573185993762083,59.0,3.673694769190661e-05
C4H5O5-,133.01424683805945,133.014263332456,3105.2373504188035,0.00020173557679514618,60.0,-1.649439656148388e-05
CO5N3-,133.98434369210943,133.98437651271806,144.87105168384068,0.00020320692686268195,61.0,-3.282060862375147e-05
C5H5O5-,145.01424683805945,145.01425959655614,1251.1394946175608,0.00021993530140713882,65.0,-1.2758496694686983e-05
C5H7O5-,147.02989690219945,147.02993259359272,13360.491923168202,0.00022299233572166106,68.0,-3.5691393264869475e-05
