formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.01381034979006,25.61428811598152,8.950305882966805e-05,8.0,4.256544936964701e-05
O3N-,61.988366443389424,61.98837593589336,2504971.314503276,9.401444537655151e-05,11.0,-9.492503934893648e-06
O3N[15]-,62.985401336789415,62.985426059505855,9157.478120751362,9.552660724631174e-05,14.0,-2.472271643938484e-05
O2O[17]N-,62.992583523829424,62.99260644977263,2437.6771321123706,9.553748502543322e-05,15.0,-2.2925943206075772e-05
O2O[18]N-,63.99261282382943,63.99262435688337,16303.471597385564,9.705414129259894e-05,17.0,-1.153305393586379e-05
C3H5O2-,73.02950297937943,73.02952540521785,53.06417334895241,0.00011075992492793784,23.0,-2.2425838423600908e-05
C2H3O3-,75.00876753479943,75.008789341819,88.75358652118362,0.00011376179236476126,25.0,-2.180701956433495e-05
C4H5O2-,85.02950297937943,85.02957572084995,240.36510944460582,0.00012895975694868878,30.0,-7.274147051816726e-05
C2HO4-,88.98803209021943,88.9881199191786,2729.9451302357566,0.00013496348639283835,32.0,-8.782895916681355e-05
C3H3O4-,103.00368215435944,103.00376491293252,7776.886012996023,0.00015622028800399125,42.0,-8.275857308603918e-05
C2O2F3-,112.98558747902945,112.9856567048627,782.0494523021717,0.00017135922624471916,46.0,-6.922583325774667e-05
C4H3O4-,115.00368215435944,115.00368809286351,82.6695613239772,0.0001744199553024389,48.0,-5.938504074265438e-06
C5H7O3-,115.04006766307943,115.04009904520086,74.39242607715262,0.0001744750809846151,49.0,-3.138212143483088e-05
C4H5O4-,117.01933221849943,117.0193903385236,1553.608203652935,0.00017747700630668176,52.0,-5.812002417826534e-05
CH2O6N-,123.98876036620943,123.98875794890223,1131.2901004620599,0.0001880470613805957,53.0,2.417307200630603e-06
HO6N2-,124.98400933893944,124.98399776760058,1129729.3569694601,0.00018955652833673798,56.0,1.1571338859539537e-05
HO6NN[15]-,125.98104423233944,125.98103488823176,7591.504374052005,0.0001910686040931784,60.0,9.344107681386049e-06
HO5O[17]N2-,125.98822641937944,125.98821794339061,2024.7808755779183,0.00019107953865314553,61.0,8.475988835243697e-06
HO5O[18]N2-,126.98825571937942,126.98825538384585,13120.063654518062,0.00019259627136611058,62.0,3.3553357070559287e-07
C6H7O3-,127.04006766307943,127.03999193098993,23.88100528935943,0.00019267465436025824,63.0,7.573208949906984e-05
C5H5O4-,129.01933221849944,129.01925858487544,29.9236868089277,0.00019567651345644803,64.0,7.363362399814832e-05
C6H9O3-,129.05571772721942,129.05576856572878,62.3612361994818,0.000195731999361046,65.0,-5.083850936671297e-05
C4H5O5-,133.01424683805945,133.01426512869554,3041.4537540359497,0.00020173558481839993,66.0,-1.8290636091933266e-05
CO5N3-,133.98434369210943,133.98439336661906,117.50335087538768,0.0002032069349909624,67.0,-4.9674509625674546e-05
C5H5O5-,145.01424683805945,145.01426410650558,1513.092373902278,0.00021993531076453494,76.0,-1.726844612903733e-05
C5H7O5-,147.02989690219945,147.02993099701405,12564.827737513766,0.00022299234531051533,80.0,-3.409481459470953e-05
C4C[13]H7O5-,148.03325173999946,148.03327182255777,247.77368033557434,0.00022451412815766277,81.0,-2.0082558307876752e-05
C2H2O7N-,151.98367498576945,151.98372021948063,86.62278098535904,0.0002305054746604755,83.0,-4.523371117670649e-05
C6H5O5-,157.01424683805945,157.01420203497943,45.605390225737786,0.0002381349724572734,84.0,4.480308001575395e-05
C6H7O5-,159.02989690219945,159.02990600959467,2632.9165802710977,0.00024119214048296079,85.0,-9.10739521486903e-06
C5C[13]H7O5-,160.03325173999946,160.03323573244066,22.721165432784545,0.00024271381240349214,86.0,1.6007558798492028e-05
C5H5O6-,161.00916145761943,161.0091810363941,2147.5251473760577,0.0002441938928769196,87.0,-1.957877466907121e-05
C6H9O5-,161.04554696633943,161.04555373594894,1415.3522285278211,0.0002442491950379244,88.0,-6.769609512957686e-06
C3O2F5-,162.98239391902945,162.9824094848667,58.17936717581671,0.00024718672776908446,89.0,-1.5565837259146065e-05
C3H4O7N-,165.99932504990943,165.99931635682185,698.2152901856427,0.0002517621284855578,90.0,8.693087579558778e-06
