,formula,mz,observed,a,sigma,peak
1,C2H3O2-,59.01385291523943,59.01377643009153,17992.244726990913,8.950302953292403e-05,164.0
2,O3N-,61.988366443389424,61.98833808926591,1001292.712448948,9.401435358978326e-05,187.0
3,O3N[15]-,62.985401336789415,62.985380349793374,3703.92952585296,9.55265404431463e-05,203.0
4,O2O[17]N-,62.992583523829424,62.992561374758274,1013.8833413165465,9.553741776539238e-05,204.0
5,O2O[18]N-,63.99261282382943,63.99257461542679,6339.252854233746,9.705410164991376e-05,206.0
6,C3H3O2-,71.01385291523944,71.01382842853009,25750.68105514424,0.00010770284849225038,264.0
7,C3H5O2-,73.02950297937943,73.02947220620548,42770.727268158524,0.0001107598760861506,284.0
8,C2H3O3-,75.00876753479943,75.00872833615342,1278.0870499684809,0.0001137616751864334,306.0
9,C4H5O2-,85.02950297937943,85.02950179767305,8938.748469191652,0.00012895964264400138,422.0
10,C2HO4-,88.98803209021943,88.98804371238855,75502.39264404544,0.00013496333900533155,488.0
11,C3H5O3-,89.02441759893942,89.0244239058828,999.3656274431634,0.00013501852864170142,492.0
12,CC[13]HO4-,89.99138692801942,89.99136375032016,1435.2433639104918,0.00013648507271082664,500.0
13,C5H5O2-,97.02950297937944,97.02948692246561,1395.5708335997192,0.00014715939087344408,570.0
14,C5H7O2-,99.04515304351943,99.0451669882415,1975.0794204514577,0.00015021648100484162,594.0
15,C4H5O3-,101.02441759893942,101.02440381944739,14039.020499981461,0.0001532182605667234,641.0
16,C3H3O4-,103.00368215435944,103.00368163853031,580003.0603555547,0.00015622008891230335,687.0
17,C4H7O3-,103.04006766307943,103.0400659283756,1341.2990370065334,0.00015627527652727874,694.0
18,C2C[13]H3O4-,104.00703699215944,104.00704804818398,18354.034040375598,0.00015774184207535384,720.0
19,C3H3O3O[18]-,105.00792853479945,105.00789211562125,4267.4680745741325,0.00015925981408303788,741.0
20,C6H7O2-,111.04515304351943,111.0451549377848,1044.3508196931946,0.0001684162278210822,789.0
21,C2O2F3-,112.98558747902945,112.98561861881568,1137.7300620712126,0.00017135921138763528,805.0
22,C5H5O3-,113.02441759893942,113.02443743849945,1720.0093366347576,0.00017141807577577978,809.0
23,C6H9O2-,113.06080310765944,113.06082355898769,1694.6710248777608,0.00017147329544632838,810.0
24,C4H3O4-,115.00368215435944,115.00365500180548,40045.63191109175,0.00017441981614419198,828.0
25,C5H7O3-,115.04006766307943,115.04004141046492,7663.17597009998,0.00017447505049750163,830.0
26,C4H5O4-,117.01933221849943,117.01932846109187,49069.19005740179,0.00017747685368859503,855.0
27,C3C[13]H5O4-,118.02268705629943,118.02270578183949,1908.568245030585,0.0001789987041688569,866.0
28,C3H3O5-,118.99859677391943,118.99854809212727,20462.475372478002,0.00018047868964755448,868.0
29,CH2O6N-,123.98876036620943,123.98868889052913,815.8302568765836,0.00018804695192959858,895.0
30,HO6N2-,124.98400933893944,124.98394942034915,536639.1860306739,0.00018955635721618305,901.0
31,C7H9O2-,125.06080310765944,125.06074994285132,1286.7190578690183,0.00018967286914686258,908.0
32,HO6NN[15]-,125.98104423233944,125.98098854029988,3658.182185563364,0.0001910686247705533,912.0
33,HO5O[17]N2-,125.98822641937944,125.98819099588805,1172.6654007457016,0.00019107955889804281,913.0
34,HO5O[18]N2-,126.98825571937942,126.98821395848061,6373.615937501679,0.00019259623127689047,916.0
35,C6H7O3-,127.04006766307943,127.04004055724887,2891.038942492558,0.0001926747398763493,918.0
37,C5H5O4-,129.01933221849944,129.0193203898181,5834.9406353053155,0.00019567661226332146,926.0
38,C6H9O3-,129.05571772721942,129.05570223791622,4225.933281016108,0.00019573183237281825,927.0
39,C3F5-,130.99256467990944,130.99252118439566,88.6628977650406,0.00019866936502139446,933.0
40,C4H3O5-,130.99859677391942,130.99854945480814,7296.06129712866,0.0001986783967088998,934.0
41,C5H7O4-,131.03498228263942,131.03494025079974,3319.980288817222,0.0001987336786626762,937.0
42,C4H5O5-,133.01424683805945,133.01421560019816,51610.6848448442,0.00020173544268255764,946.0
44,C3C[13]H5O5-,134.01760167585942,134.01758849400062,1903.7767045128858,0.00020325721976308285,952.0
45,C3H6O5N-,136.02514587492942,136.0250849171913,795.0692371855002,0.00020630195797083185,967.0
47,C7H9O3-,141.05571772721942,141.05571461177178,1988.9110491519446,0.0002139316192327961,1015.0
48,C6H7O4-,143.03498228263942,143.0349302254999,4295.190920314737,0.0002169333057078766,1029.0
49,C5H5O5-,145.01424683805945,145.01421224639628,21769.06723636112,0.0002199351679883933,1048.0
50,C6H9O4-,145.0506323467794,145.05060086938312,1468.2726108748805,0.0002199904456122177,1051.0
51,C4C[13]H5O5-,146.01760167585942,146.01757666157926,984.9930931052677,0.00022145705984385415,1061.0
52,C5H7O5-,147.02989690219945,147.02987784553682,90494.1317729385,0.00022299223839201954,1073.0
53,C4C[13]H7O5-,148.03325173999946,148.03324303780735,4332.327520156485,0.00022451396004755843,1083.0
54,C5H7O4O[18]-,149.03414328263943,149.03408884139992,835.5940817234813,0.0002260320075542908,1092.0
55,C2H2O7N-,151.98367498576945,151.98363611464407,10808.712137942164,0.0002305053969122204,1120.0
56,C7H7O4-,155.03498228263942,155.034977240993,2442.3958342604883,0.000235133216514565,1151.0
57,C8H11O3-,155.0713677913594,155.07135028838758,523.8340841362825,0.00023518841883175923,1152.0
58,C6H5O5-,157.01424683805945,157.01418575788537,5326.434884938821,0.00023813493851709432,1169.0
59,C7H9O4-,157.0506323467794,157.05057440714242,2578.3033495669943,0.00023819013958785868,1172.0
60,C6H7O5-,159.02989690219945,159.02985353539398,16554.135673121094,0.00024119198525472492,1191.0
61,C7H11O4-,159.06628241091943,159.06623135778867,1105.395307471262,0.000241247170499228,1192.0
62,C5C[13]H7O5-,160.03325173999946,160.03322089300536,872.8243546462564,0.0002427137780182959,1200.0
63,C5H5O6-,161.00916145761943,161.00912367370475,256107.93200111375,0.0002441938001389038,1205.0
64,C6H9O5-,161.04554696633943,161.04550320822906,9406.6526759932,0.0002442491001099083,1210.0
65,C4C[13]H5O6-,162.01251629541943,162.01249809353854,13251.549596993209,0.0002457155807639492,1218.0
66,C5C[13]H9O5-,162.04890180413943,162.04889853841354,551.2263982523156,0.0002457708420833752,1221.0
67,C3O2F5-,162.98239391902945,162.98236188713346,118.7374657962866,0.00024718651551354026,1231.0
68,C5H7O6-,163.0248115217594,163.02479205413135,2964.098176347545,0.00024725088248869423,1236.0
69,C8H5O4-,165.01933221849944,165.01926486081257,290.321199364851,0.00025027574898464134,1255.0
70,C3H4O7N-,165.99932504990943,165.99925611562495,101137.21153109941,0.0002517621141912877,1261.0
71,C2C[13]H4O7N-,167.00267988770943,167.0026219808405,2695.5441556365345,0.0002532838791310836,1274.0
72,C7H7O5-,171.02989690219945,171.02987618469805,10075.206058289397,0.0002593917316796481,1307.0
73,C8H11O4-,171.06628241091943,171.066275680172,2108.245240584118,0.0002594470436284792,1310.0
74,C6H5O6-,173.00916145761943,173.0090756568681,874.0475229801895,0.0002623934453972056,1318.0
75,C7H9O5-,173.04554696633946,173.04545717302975,39308.404279310686,0.000262448696942172,1322.0
76,C6C[13]H9O5-,174.04890180413943,174.04882619743447,2510.756917314907,0.0002639704374208846,1329.0
77,C6H7O6-,175.0248115217594,175.0247412780094,6707.90767733048,0.000265450689214123,1336.0
78,C7H9O4O[18]-,175.04979334677944,175.04972703120194,338.0380949480295,0.00026548858372127,1338.0
79,C7H11O5-,175.06119703047943,175.06112808247659,8092.23578522427,0.0002655058679763529,1339.0
80,C5C[13]H7O6-,176.0281663595594,176.0281078247261,375.5551152830813,0.00026697240222745195,1349.0
82,C6C[13]H11O5-,176.0645518682794,176.06446721354857,549.5600647707239,0.0002670274260245341,1350.0
83,C6H9O6-,177.04046158589938,177.0404049272767,1961.7300012799312,0.0002685076613836645,1359.0
84,C4H4O7N-,177.99932504990943,177.99927723197277,6678.257681416701,0.0002699620152230664,1366.0
85,C4H6O7N-,180.01497511404946,180.01494934831487,5675.195962029224,0.00027301906558980046,1396.0
87,C8H7O5-,183.02989690219945,183.02981807688423,716.924025242381,0.00027759146889466197,1421.0
88,C8H9O5-,185.04554696633946,185.04547164944879,11662.364719185089,0.0002806485436056468,1439.0
89,C7C[13]H9O5-,186.04890180413943,186.04885233712326,882.8014808249576,0.00028217015501426145,1452.0
90,C7H7O6-,187.0248115217594,187.02474672078458,4253.267035085572,0.0002836503558204754,1456.0
91,C8H11O5-,187.06119703047943,187.06113921587658,11439.071221369946,0.0002837055549363181,1459.0
93,C7C[13]H11O5-,188.0645518682794,188.06447805748505,883.0035608061754,0.0002852273164928564,1463.0
94,C7H9O6-,189.04046158589938,189.0404275115259,9530.616556653946,0.00028670736465895763,1474.0
95,C8H13O5-,189.07684709461944,189.0768068469222,2069.4190360169746,0.0002867625235364778,1477.0
96,C5H4O7N-,189.99932504990943,189.99930169391186,828.9650924590595,0.000288161754758602,1479.0
97,C6C[13]H9O6-,190.0438164236994,190.04375170399516,576.803623473906,0.0002882291112020988,1481.0
98,C5H6O7N-,192.01497511404946,192.0149582105301,6949.955328691376,0.00029121872755267196,1494.0
100,C4C[13]H6O7N-,193.01832995184944,193.01824143476838,304.846138205724,0.00029274041156948183,1501.0
101,C4H4O8N-,193.99423966946947,193.99416275876774,1128.2148045200242,0.00029422060028509045,1507.0
102,C5H8O7N-,194.03062517818938,194.03052580164012,3268.8385482703793,0.0002942757545337621,1510.0
103,C4H6O8N-,196.00988973360944,196.00981071104377,3501.8582370269996,0.0002972775167779177,1523.0
104,C9H9O5-,197.04554696633946,197.0454894523468,341.4990052379844,0.00029884824169602056,1529.0
105,C8H7O6-,199.0248115217594,199.0247628691515,2687.0215409244065,0.0003018502265505125,1540.0
106,C9H11O5-,199.06119703047943,199.0611313128594,1418.000435250656,0.0003019052674532292,1541.0
107,C6H5O6N2-,201.01530946721942,201.01534062125356,88.87964326375553,0.0003048692277442615,1551.0
108,C8H9O6-,201.04046158589938,201.04042535954127,15844.423448083411,0.00030490715531367624,1554.0
109,C9H13O5-,201.07684709461944,201.07681548490518,2204.6909340383268,0.000304962265406462,1555.0
110,C7C[13]H9O6-,202.0438164236994,202.0437760738963,1231.1860378288156,0.0003064287898579994,1559.0
111,C7H7O7-,203.01972614131938,203.01973555208434,513.7781455534418,0.00030790903926890815,1564.0
112,C8H11O6-,203.0561116500394,203.05609780633162,10002.223216113467,0.0003079641847874925,1567.0
114,C7C[13]H11O6-,204.05946648783944,204.0593773007423,718.3231042588053,0.00030948598677035854,1575.0
115,C7H9O7-,205.03537620545941,205.03529470370165,1004.304336824435,0.00031096603219257107,1582.0
118,C5C[13]H8O7N-,207.0339800159894,207.03395926223263,102.11512811933893,0.0003139972530550466,1598.0
119,C3H2O5NF4-,207.98745862664944,207.9874654830506,36.60259104550274,0.0003154434623685594,1605.0
120,C5H6O8N-,208.00988973360944,208.0098021612237,79458.06658023303,0.00031547717630447437,1607.0
125,C5C[13]H10O7N-,209.04963008012945,209.04954598174197,136.85232787665393,0.0003170542600413241,1622.0
126,C4H4O9N-,209.98915428902941,209.98910404038128,330.63371953526615,0.0003184792541160746,1626.0
127,C5H8O8N-,210.02553979774945,210.02545828765867,71250.5823202991,0.00031853425331260736,1630.0
128,C4C[13]H8O8N-,211.02889463554942,211.0288038576959,3198.8490748279432,0.00032005605273393597,1642.0
130,C9H9O6-,213.04046158589938,213.0404016590892,381.25875724593493,0.0003231068289756997,1659.0
131,C10H13O5-,213.07684709461944,213.07677371124782,1741.9582781372737,0.0003231619126947011,1660.0
132,C8H7O7-,215.01972614131938,215.01968397518758,46.42914934698028,0.0003261089989517596,1669.0
133,C9H11O6-,215.0561116500394,215.05605056086867,4782.74223883799,0.00032616400153914163,1670.0
134,C10H15O5-,215.09249715875941,215.09245475876074,998.9814041851613,0.00032621901804303,1671.0
136,C9C[13]H15O5-,216.09585199655945,216.0958245704612,82.00216623812166,0.0003277408709048973,1679.0
137,C8H9O7-,217.03537620545941,217.03533548945714,617.8476891647402,0.0003291658550140386,1688.0
142,C6H6O8N-,220.00988973360944,220.00979156776867,7589.272375118817,0.0003336770956463975,1718.0
147,C7H10O6O[18]N-,222.05052162276942,222.05047316645195,971.7755454463886,0.0003367719065107358,1745.0
156,C10H11O6-,227.0561116500394,227.05602671633306,234.10784047836972,0.0003443636410238608,1801.0
182,C9H6O7N-,240.01497511404946,240.01487897620183,20.49203185847164,0.0003640178123100767,1907.0
197,C8H10O7O[18]N-,250.04543624232946,250.04537745005294,1049.7963343497493,0.00037923025236529634,1992.0
247,C6H2O11N3-,291.96948147360945,291.96951449140477,235.96354443435024,0.0004428144025279977,2353.0
263,C14H16O5NF-,297.10179941562944,297.1018040442074,495.5733486929741,0.0004505983689254406,2411.0
277,C11H14O10N-,320.06231922928936,320.0622193712181,202.74395421654378,0.00048542092850765073,2568.0
292,C10H15O11N2-,339.06813288571936,339.0680556966819,136.86224524791604,0.000514246099150255,2699.0
