,formula,mz,observed,a,sigma,peak
0,C3H5O-,57.03458835981942,57.03448535401162,3984.4164299612667,8.650112950176863e-05,19.0
1,C2H3O2-,59.01385291523943,59.013782365821186,18030.121514670504,8.950302547629986e-05,29.0
2,O3N-,61.988366443389424,61.988343075393985,992320.788559116,9.401439313469595e-05,46.0
3,O3N[15]-,62.985401336789415,62.985384525253906,3417.4611638412894,9.552653601241171e-05,70.0
4,O2O[17]N-,62.992583523829424,62.99256672192291,1010.3804125125415,9.553741333397363e-05,71.0
5,O2O[18]N-,63.99261282382943,63.99257977884514,6465.143123885931,9.705409712279713e-05,72.0
6,C3H3O2-,71.01385291523944,71.01383419196873,25693.834781550468,0.00010770284327681779,96.0
7,C3H5O2-,73.02950297937943,73.02947739591602,41757.059176237395,0.00011075987066793791,120.0
8,C2H3O3-,75.00876753479943,75.00873776315949,1300.3867626118567,0.00011376172797560544,142.0
9,C4H5O2-,85.02950297937943,85.02950879658506,8752.030030660528,0.0001289597064689169,254.0
10,C2HO4-,88.98803209021943,88.9880509533219,77224.157031082,0.00013496340738022633,302.0
11,C3H5O3-,89.02441759893942,89.0244398230848,1043.4106890456308,0.00013501859705890903,306.0
12,CC[13]HO4-,89.99138692801942,89.99137188013079,1415.3690522055394,0.0001364850654998358,313.0
13,C5H5O2-,97.02950297937944,97.02949332894357,1359.5954388478103,0.00014715938287556345,404.0
14,C5H7O2-,99.04515304351943,99.04517430750215,2014.1786881357389,0.00015021647277717377,424.0
15,C4H5O3-,101.02441759893942,101.0244108178518,13999.687133015037,0.00015321825211154502,452.0
16,C3H3O4-,103.00368215435944,103.00368916131666,585665.397199446,0.0001562201742192781,492.0
17,C4H7O3-,103.04006766307943,103.0400801480031,1307.9504024634246,0.0001562753618798303,503.0
18,C2C[13]H3O4-,104.00703699215944,104.0070547423596,18708.527703451724,0.0001577419286420641,517.0
19,C3H3O3O[18]-,105.00792853479945,105.00790024522239,4534.772359058572,0.0001592598051643829,541.0
20,C6H7O2-,111.04515304351943,111.04515915740404,1068.9165183585362,0.00016841621818606325,602.0
21,C2O2F3-,112.98558747902945,112.98562067523986,1258.510715267884,0.00017135920151886892,614.0
22,C5H5O3-,113.02441759893942,113.02444988430067,1610.6838317389197,0.00017141806590232096,619.0
23,C6H9O2-,113.06080310765944,113.0608297517015,1663.0417102678987,0.00017147328556846696,620.0
24,C4H3O4-,115.00368215435944,115.00366328669372,40335.33618920299,0.00017441980603055733,635.0
25,C5H7O3-,115.04006766307943,115.04005059304816,7683.536722846043,0.0001744750403794313,637.0
26,C4H5O4-,117.01933221849943,117.0193384556751,49464.313720971375,0.00017747695714261284,661.0
27,C3C[13]H5O4-,118.02268705629943,118.02271271441911,1817.2224051053377,0.00017899869368552952,669.0
28,C3H3O5-,118.99859677391943,118.99855631248342,20819.04806228417,0.00018047867904388335,678.0
29,CH2O6N-,123.98876036620943,123.98869681314694,843.6751531506975,0.00018804694070409633,700.0
30,HO6N2-,124.98400933893944,124.98395958404794,536855.8356064649,0.00018955647149461943,707.0
31,C7H9O2-,125.06080310765944,125.06076818167283,1304.1627455558064,0.00018967298353145604,712.0
32,HO6NN[15]-,125.98104423233944,125.98100126408347,3715.1677993012354,0.0001910686132938119,713.0
33,HO5O[17]N2-,125.98822641937944,125.98819676045527,1114.3888176950309,0.00019107954742038922,714.0
34,HO5O[18]N2-,126.98825571937942,126.98822437660469,6403.652621695493,0.0001925962196724971,717.0
35,C6H7O3-,127.04006766307943,127.04004952188757,2964.6385045210677,0.00019267485700740468,719.0
