,formula,mz,observed,a,sigma,peak
0,C3H5O-,57.03458835981942,57.03448288348252,3882.083562761899,8.650112575703498e-05,52.0
1,C2H3O2-,59.01385291523943,59.01377980189311,18007.770311279874,8.950302165001815e-05,63.0
2,O3N-,61.988366443389424,61.98833890860822,982881.4502238265,9.401438919038983e-05,88.0
3,O3N[15]-,62.985401336789415,62.985382070096215,3741.4238398169464,9.552653202974276e-05,119.0
4,O2O[17]N-,62.992583523829424,62.99256130379196,1107.0556395985066,9.553740935103089e-05,120.0
5,O2O[18]N-,63.99261282382943,63.99257613019395,6470.808991520831,9.70540931019764e-05,122.0
6,C3H3O2-,71.01385291523944,71.01382966776306,25487.832248732426,0.00010770283900647037,138.0
7,C3H5O2-,73.02950297937943,73.02947302498649,42197.82262669202,0.00011075986633113693,161.0
8,C2H3O3-,75.00876753479943,75.00872823419768,1413.0098138079322,0.00011376166516705049,190.0
9,C4H5O2-,85.02950297937943,85.02950403748977,8852.708888088084,0.00012895963128613556,320.0
10,C2HO4-,88.98803209021943,88.98804606372428,78574.79495513318,0.00013496340259442025,373.0
11,C3H5O3-,89.02441759893942,89.02443426876974,950.8236171143143,0.0001350185922722299,378.0
12,CC[13]HO4-,89.99138692801942,89.99136811557553,1459.926334508777,0.00013648506069020077,387.0
13,C5H5O2-,97.02950297937944,97.02948669502362,1308.2997584734649,0.00014715937791274142,463.0
14,C5H7O2-,99.04515304351943,99.04517063545566,2010.5838313151648,0.00015021646777490483,497.0
15,C4H5O3-,101.02441759893942,101.02440664001801,13952.357680775847,0.000153218247072424,525.0
16,C3H3O4-,103.00368215435944,103.00368528834494,585948.8491217626,0.00015622016914514897,576.0
17,C4H7O3-,103.04006766307943,103.04007489225833,1285.0999350824063,0.00015627535680507473,585.0
18,C2C[13]H3O4-,104.00703699215944,104.00705102283915,18675.16269824773,0.0001577419235508876,609.0
19,C3H3O3O[18]-,105.00792853479945,105.00789535772822,4427.194138081133,0.0001592598000566682,632.0
20,C6H7O2-,111.04515304351943,111.04515211614098,1014.811190262413,0.00016841621298832384,680.0
21,C2O2F3-,112.98558747902945,112.98561716174957,1219.5733014609455,0.00017135919629569438,698.0
22,C5H5O3-,113.02441759893942,113.02444690064071,1607.1272850437026,0.0001714180606786548,701.0
23,C6H9O2-,113.06080310765944,113.06082931005952,1555.2065510249793,0.00017147328034434036,702.0
24,C4H3O4-,115.00368215435944,115.00365854657478,40358.37553248986,0.00017441980078271023,719.0
25,C5H7O3-,115.04006766307943,115.0400471503366,7711.561407993674,0.00017447503513115547,723.0
26,C4H5O4-,117.01933221849943,117.01933439033066,48419.215529424844,0.00017747695187191607,745.0
27,C3C[13]H5O4-,118.02268705629943,118.02270899713542,1864.0711499659933,0.00017899868840412297,754.0
28,C3H3O5-,118.99859677391943,118.99855286915226,20897.76080192217,0.00018047867375248176,762.0
29,CH2O6N-,123.98876036620943,123.98868013043736,790.7550123085916,0.00018804693536800848,785.0
30,HO6N2-,124.98400933893944,124.98395541005893,532583.8009240421,0.0001895564661508922,792.0
31,C7H9O2-,125.06080310765944,125.06075704693843,1291.8108794238633,0.00018967285244208239,797.0
32,HO6NN[15]-,125.98104423233944,125.98099412681962,3582.301230366268,0.0001910686079428528,799.0
33,HO5O[17]N2-,125.98822641937944,125.98819963240041,1011.6619256333355,0.00019107954206937935,800.0
34,HO5O[18]N2-,126.98825571937942,126.98821700776669,6331.006114726078,0.00019259621431465794,804.0
35,C6H7O3-,127.04006766307943,127.0400424731944,2824.273879926321,0.00019267472290720281,806.0
