formula,mz
C6H10O7N[15]-,209.04331013572943
C5C[13]H10O7N-,209.04963008012942
C4H4O9N-,209.98915428902944
C5H8O8N-,210.02553979774942
C4C[13]H8O8N-,211.02889463554942
C5H8O7O[18]N-,212.02978617818943
C9H9O6-,213.0404615858994
C10H13O5-,213.07684709461944
C8H7O7-,215.0197261413194
C9H11O6-,215.0561116500394
C10H15O5-,215.09249715875944
C8C[13]H11O6-,216.05946648783942
C9C[13]H15O5-,216.09585199655945
C8H9O7-,217.03537620545941
C9H13O6-,217.07176171417942
C7H8O7N-,218.0306251781894
C8C[13]H13O6-,218.07511655197942
C8H11O7-,219.05102626959942
C6H6O8N-,220.00988973360944
C7H10O7N-,220.04627524232941
C5C[13]H6O8N-,221.01324457140944
C6C[13]H10O7N-,221.04963008012942
C6H8O8N-,222.02553979774942
C7H10O6O[18]N-,222.05052162276942
C7H12O7N-,222.06192530646942
C5C[13]H8O8N-,223.02889463554942
C5H6O9N-,224.00480435316945
C6H10O8N-,224.04118986188942
C4C[13]H6O9N-,225.00815919096945
C5C[13]H10O8N-,225.04454469968942
C5H6O8O[18]N-,226.00905073360946
C5H8O9N-,226.02045441730942
C10H11O6-,227.0561116500394
C6H2O7N3-,227.98982299536942
C4O3F7-,228.97411497858943
C10H13O6-,229.07176171417942
C9C[13]H13O6-,230.07511655197942
C9H11O7-,231.05102626959942
C10H15O6-,231.08741177831942
C7H6O8N-,232.00988973360944
C8H10O7N-,232.04627524232941
C9C[13]H15O6-,232.09076661611942
C9H13O7-,233.06667633373942
C7H8O8N-,234.02553979774942
C8H12O7N-,234.06192530646942
C6C[13]H8O8N-,235.02889463554942
C7C[13]H12O7N-,235.06528014426942
C6H6O9N-,236.00480435316945
C7H8O7O[18]N-,236.02978617818943
C7H10O8N-,236.04118986188942
C8H12O6O[18]N-,236.06617168690943
C8H14O7N-,236.07757537060942
C6C[13]H10O8N-,237.04454469968942
C7C[13]H14O7N-,237.08093020840943
C6H8O9N-,238.02045441730942
C7H10O7O[18]N-,238.04543624232943
C7H12O8N-,238.05683992602943
C6C[13]H12O8N-,239.06019476382943
C9H6O7N-,240.01497511404943
C6H10O9N-,240.03610448144943
C11H15O6-,243.08741177831942
C15H19ON2-,243.15028681839942
C5HO2F8-,244.98542861109945
C10H13O7-,245.06667633373942
C8H8O8N-,246.02553979774942
C9H12O7N-,246.06192530646942
C10H15O7-,247.08232639787943
C7H6O9N-,248.00480435316945
C8H10O8N-,248.04118986188942
C9H14O7N-,248.07757537060942
C8H10O8N[15]-,249.03822475528943
C7C[13]H10O8N-,249.04454469968942
C7H8O9N-,250.02045441730942
C8H10O7O[18]N-,250.04543624232943
C8H12O8N-,250.05683992602943
C9H16O7N-,250.09322543474943
C8H12O8N[15]-,251.05387481942944
C7C[13]H12O8N-,251.06019476382943
C8C[13]H16O7N-,251.09658027254943
C7H10O9N-,252.03610448144943
C8H12O7O[18]N-,252.06108630646943
C8H14O8N-,252.07248999016943
C6C[13]H10O9N-,253.03945931924943
C7C[13]H14O8N-,253.07584482796943
C7H12O9N-,254.05175454558943
C5H7O10N2-,255.01061800959943
C9H10O8N-,260.04118986188945
C8H8O9N-,262.02045441730945
C9H12O8N-,262.05683992602945
C10H16O7N-,262.09322543474946
C8C[13]H12O8N-,263.06019476382943
C8H10O9N-,264.03610448144946
C9H14O8N-,264.07248999016946
C10H18O7N-,264.10887549888946
C7C[13]H10O9N-,265.03945931924943
C8C[13]H14O8N-,265.07584482796943
C7H8O10N-,266.01536903686946
C8H12O9N-,266.05175454558946
C7C[13]H12O9N-,267.05510938338944
C7H10O10N-,268.03101910100946
C8H14O9N-,268.06740460972946
