formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.013850792814004,37.98911098607178,8.950311077069619e-05,11.0,2.1224254282969923e-06
O3N-,61.988366443389424,61.98837539223579,2530031.968010283,9.401441404448136e-05,13.0,-8.948846364376095e-06
O3N[15]-,62.985401336789415,62.985424609853574,8688.443772454424,9.552657532402175e-05,16.0,-2.3273064158502166e-05
O2O[17]N-,62.992583523829424,62.99260359355357,2583.9021926210307,9.55374980522276e-05,17.0,-2.006972414392294e-05
O2O[18]N-,63.99261282382943,63.992623387980515,16030.109609609597,9.70541548000413e-05,18.0,-1.0564151082803619e-05
C3H5O2-,73.02950297937943,73.02953968722994,16.909783920151366,0.00011075994306312256,30.0,-3.670785051212988e-05
C2H3O3-,75.00876753479943,75.0087826127049,52.899953219778624,0.00011376175316873944,34.0,-1.507790547350396e-05
C4H5O2-,85.02950297937943,85.02957388349388,96.39467811538925,0.00012895978198038067,44.0,-7.090411445176414e-05
C2HO4-,88.98803209021943,88.9881209389493,2655.960845616918,0.00013496351387768486,57.0,-8.884872985959191e-05
C4H5O3-,101.02441759893942,101.02448566710719,34.028849741677334,0.00015321837052376173,80.0,-6.806816776361302e-05
C3H3O4-,103.00368215435944,103.00376121256467,7925.483741367983,0.00015622023084991646,81.0,-7.905820523035345e-05
C2C[13]H3O4-,104.00703699215944,104.00710490722118,40.7628936739337,0.00015774195244039715,82.0,-6.791506173442485e-05
C2O2F3-,112.98558747902945,112.985663050643,1039.1356852292263,0.00017135927035782762,93.0,-7.557161355009612e-05
C4H3O4-,115.00368215435944,115.00372261008606,61.57263523543456,0.00017442000094469365,96.0,-4.045572661937058e-05
C5H7O3-,115.04006766307943,115.0401249009772,42.62569900875692,0.00017447512665458932,97.0,-5.723789777789534e-05
C4H5O4-,117.01933221849943,117.01938141854973,1636.0560142256058,0.00017747693967696054,100.0,-4.920005029873664e-05
C3H3O5-,118.99859677391943,118.99864727059682,22.42978933389166,0.00018047878264150686,102.0,-5.04966773888782e-05
CH2O6N-,123.98876036620943,123.98874959114396,1188.3672953851708,0.000188046989927759,106.0,1.0775065476309464e-05
HO6N2-,124.98400933893944,124.98399879187306,1162482.0508238254,0.0001895564561892867,111.0,1.0547066381150216e-05
HO6NN[15]-,125.98104423233944,125.98103711996332,7550.4938885756255,0.0001910686583890591,115.0,7.1123761244962225e-06
HO5O[17]N2-,125.98822641937944,125.98822140546521,2308.5718317733613,0.00019107959295489298,117.0,5.0139142331318e-06
HO5O[18]N2-,126.98825571937942,126.98825317456162,13755.43584307606,0.0001925961978154811,119.0,2.5448178035958335e-06
C5H5O4-,129.01933221849944,129.01934406067676,36.965454399901716,0.00019567670201311844,123.0,-1.1842177315202207e-05
C6H9O3-,129.05571772721942,129.0557200428428,147.08588399871675,0.00019573192435684734,124.0,-2.3156233908139257e-06
C3F5-,130.99256467990944,130.99261579415014,23.474312476391344,0.00019866944234405782,127.0,-5.111424070491921e-05
C5H7O4-,131.03498228263942,131.0349786656869,40.30106988926283,0.0001987337585783834,128.0,3.6169525117202284e-06
C4H5O5-,133.01424683805945,133.01426716689568,2917.2830926680112,0.00020173550701417617,129.0,-2.0328836228600267e-05
CO5N3-,133.98434369210943,133.98435610735402,125.04945503031499,0.00020320685649712357,130.0,-1.2415244583507956e-05
C6H7O4-,143.03498228263942,143.0349598333861,16.05623935032306,0.00021693339745207547,136.0,2.2449253322065488e-05
C5H5O5-,145.01424683805945,145.01425243036746,1338.9969877700369,0.00021993538135364228,138.0,-5.592308014001901e-06
C5H7O5-,147.02989690219945,147.0299249730984,12880.212181786537,0.00022299241771706123,141.0,-2.8070898935084188e-05
C4C[13]H7O5-,148.03325173999946,148.0332558212706,113.386205856243,0.00022451403953111922,142.0,-4.081271129052766e-06
C2H2O7N-,151.98367498576945,151.98371393688961,110.32764488654209,0.00023050555160623087,146.0,-3.895112016039093e-05
C7H9O4-,157.0506323467794,157.05061139856252,59.24883213140444,0.00023819025739275513,148.0,2.0948216871374825e-05
C6H7O5-,159.02989690219945,159.0299066041723,2591.767288379165,0.00024119204374007316,149.0,-9.701972857101282e-06
C5H5O6-,161.00916145761943,161.00917563584247,2160.0943293630257,0.000244193978353408,151.0,-1.4178223040062221e-05
C6H9O5-,161.04554696633943,161.04556957030914,1482.4555371840775,0.000244249096790222,152.0,-2.2603969711099126e-05
C3O2F5-,162.98239391902945,162.98241289955016,82.49165117071031,0.00024718662807048824,154.0,-1.8980520707145843e-05
C8H5O4-,165.01933221849944,165.0193303600663,30.566496737707745,0.0002502759855080392,155.0,1.8584331371584994e-06
C3H4O7N-,165.99932504990943,165.99931912847993,789.2039312769286,0.0002517622188201985,156.0,5.921429504951448e-06
C7H7O5-,171.02989690219945,171.02989535409742,88.59789590820073,0.0002593919441932978,162.0,1.548102034121257e-06
C7H9O5-,173.04554696633946,173.0455329711928,9193.012537154005,0.00026244882857478423,164.0,1.3995146645129353e-05
C6C[13]H9O5-,174.04890180413943,174.04887884592162,160.30151987100095,0.00026397062963828046,165.0,2.2958217812174553e-05
C6H7O6-,175.0248115217594,175.02478618540235,1776.9046263153205,0.000265450732633735,166.0,2.5336357055039116e-05
C7H11O5-,175.06119703047943,175.06114224695446,49.054348165809266,0.0002655057052919135,168.0,5.4783524973345266e-05
C4H6O7N-,180.01497511404946,180.01495247517605,115.27254149420779,0.0002730189765519516,173.0,2.2638873417690775e-05
C8H7O5-,183.02989690219945,183.02998499422242,12.94317570774495,0.0002775917795794909,177.0,-8.809202296333751e-05
C8H9O5-,185.04554696633946,185.04557395129663,150.38502758658336,0.00028064875234253277,181.0,-2.6984957173681323e-05
C7H7O6-,187.0248115217594,187.02481337528556,64.7129789103135,0.00028365045487851087,184.0,-1.8535261574470496e-06
C8H11O5-,187.06119703047943,187.06118903603203,2590.799230396998,0.0002837056561556761,185.0,7.99444740096078e-06
C7H9O6-,189.04046158589938,189.04045184777686,1535.7743695171685,0.0002867073505948214,186.0,9.738122514590941e-06
C6C[13]H9O6-,190.0438164236994,190.04379845310112,10.818245971785071,0.0002882291559629256,187.0,1.7970598293004514e-05
C5H6O7N-,192.01497511404946,192.01496898364115,1148.9896308940667,0.0002912188891483867,188.0,6.130408308990809e-06
C5H8O7N-,194.03062517818938,194.03062177213974,104.86554836001702,0.000294275794312542,193.0,3.406049643217557e-06
