formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.98837564398854,2509728.2656812673,9.401444350722895e-05,17.0,-9.200599116354624e-06
O3N[15]-,62.985401336789415,62.985425812541536,8313.828060080361,9.552660531360785e-05,19.0,-2.4475752120167726e-05
O2O[17]N-,62.992583523829424,62.99260327454992,2535.1454418530634,9.553748309227052e-05,20.0,-1.9750720497313523e-05
O2O[18]N-,63.99261282382943,63.99262376219077,15825.744033133346,9.705413929506952e-05,21.0,-1.093836133492232e-05
C3H5O2-,73.02950297937943,73.02952593773293,64.98584255878721,0.00011075997842829967,34.0,-2.2958353497415374e-05
C2H3O3-,75.00876753479943,75.0088061443774,96.18714243672376,0.00011376178960739378,39.0,-3.860957797030551e-05
C4H5O2-,85.02950297937943,85.02957746580218,145.49068321078323,0.00012895975342332354,50.0,-7.448642274709982e-05
C2HO4-,88.98803209021943,88.98812247153232,2639.688988105548,0.00013496348254497548,60.0,-9.038131288718887e-05
C4H5O3-,101.02441759893942,101.02444405757755,14.800328163915767,0.00015321833017371876,70.0,-2.645863813199867e-05
C3H3O4-,103.00368215435944,103.00376505012113,8022.439024659241,0.00015622028293178924,73.0,-8.289576169318025e-05
C2O2F3-,112.98558747902945,112.98565815987541,1015.6699815285273,0.00017135922022576639,88.0,-7.068084596539848e-05
C4H3O4-,115.00368215435944,115.00370548141272,82.90184108842479,0.00017441994908482338,90.0,-2.332705328456086e-05
C5H7O3-,115.04006766307943,115.040096088655,30.03713755120517,0.00017447518570660087,91.0,-2.8425575578694406e-05
C4H5O4-,117.01933221849943,117.01938818786643,1758.6758734242392,0.00017747699988825767,93.0,-5.596936699703292e-05
C3H3O5-,118.99859677391943,118.99861532882082,27.651021910036018,0.00018047884401572138,95.0,-1.8554901387801692e-05
CH2O6N-,123.98876036620943,123.98874543306484,1433.7424869831325,0.0001880470542497756,97.0,1.493314459821704e-05
HO6N2-,124.98400933893944,124.98399889735009,1141787.591783904,0.00018955652110192622,103.0,1.0441589353149539e-05
HO6NN[15]-,125.98104423233944,125.98103510698144,7686.925327731797,0.00019106859675363644,107.0,9.125358005235285e-06
HO5O[17]N2-,125.98822641937944,125.98821696755253,2122.0396894826545,0.00019107953131284418,108.0,9.451826912254546e-06
HO5O[18]N2-,126.98825571937942,126.9882543045052,13617.630579626933,0.00019259626392019279,111.0,1.4148742195629893e-06
C6H7O3-,127.04006766307943,127.04007279445186,38.74147625796911,0.00019267490440309,112.0,-5.1313724327428645e-06
C5H5O4-,129.01933221849944,129.01931798821622,61.23989249709794,0.00019567663756185744,113.0,1.423028322733444e-05
C6H9O3-,129.05571772721942,129.05570201385873,42.55222267636909,0.00019573185987155743,114.0,1.5713360681957056e-05
C4H5O5-,133.01424683805945,133.01426487414804,3169.093942538846,0.00020173557672433404,116.0,-1.803608859063388e-05
CO5N3-,133.98434369210943,133.98437051882615,167.68347640751253,0.0002032069267906875,117.0,-2.682671672005199e-05
C3C[13]H5O5-,134.01760167585942,134.01761941933472,9.66673825171129,0.00020325727635852445,118.0,-1.7743475297038458e-05
C5H5O5-,145.01424683805945,145.01425808199238,1200.9439904210992,0.00021993530132120124,128.0,-1.124393293139292e-05
C6H9O4-,145.0506323467794,145.05066267108205,31.04273617642181,0.00021999058116966384,129.0,-3.032430265648145e-05
C5H7O5-,147.02989690219945,147.0299318802603,12944.753032666775,0.0002229923356330775,133.0,-3.497806085306365e-05
C4C[13]H7O5-,148.03325173999946,148.03327591227657,208.97639360556693,0.00022451411836290198,134.0,-2.417227710793668e-05
C2H2O7N-,151.98367498576945,151.9836591009714,71.34269433221758,0.00023050546439876547,140.0,1.588479804581766e-05
C6H5O5-,157.01424683805945,157.0141792391611,12.774600307494305,0.0002381349615894288,143.0,6.759889834029309e-05
C7H9O4-,157.0506323467794,157.0506208379639,28.530794283398578,0.00023819016482653607,144.0,1.150881550415761e-05
C6H7O5-,159.02989690219945,159.0298996897969,2606.470206664687,0.00024119212936865933,147.0,-2.7875974524249614e-06
C5C[13]H7O5-,160.03325173999946,160.03325226586205,28.543286147673445,0.0002427138011657633,148.0,-5.258625890292024e-07
C5H5O6-,161.00916145761943,161.00918096561824,2127.7984878718667,0.0002441938815186566,149.0,-1.950799881456078e-05
C6H9O5-,161.04554696633943,161.04555453712524,1504.432768246138,0.0002442491836751486,150.0,-7.57078581159476e-06
C3O2F5-,162.98239391902945,162.98243142895726,93.83765245976474,0.00024718671616565156,153.0,-3.750992780737761e-05
C8H5O4-,165.01933221849944,165.0193329926941,38.827745923543404,0.0002502758842767721,156.0,-7.741946603800898e-07
C3H4O7N-,165.99932504990943,165.99931644435455,714.0861332894967,0.00025176230880630967,157.0,8.60555488202408e-06
C7H7O5-,171.02989690219945,171.02988904269722,45.97870011484332,0.00025939183623796633,164.0,7.85950223303189e-06
C8H11O4-,171.06628241091943,171.066269407541,43.083063922384696,0.00025944694919330944,165.0,1.3003378427356438e-05
C6H5O6-,173.00916145761943,173.0091036105091,11.858027562309589,0.00026239366924614855,167.0,5.78471103267475e-05
C7H9O5-,173.04554696633946,173.0455309920141,8953.146650313107,0.0002624489230047345,168.0,1.5974325350498475e-05
C6C[13]H9O5-,174.04890180413943,174.04884637647027,173.51017579758928,0.0002639705182456044,169.0,5.542766916732944e-05
C6H7O6-,175.0248115217594,175.02478330536474,1852.2569639843862,0.00026545062012140196,170.0,2.8216394667879285e-05
C7H11O5-,175.06119703047943,175.0611909383426,33.21745643613821,0.00026550580099998647,172.0,6.092136828783623e-06
C4H4O7N-,177.99932504990943,177.99928999551176,16.798420197415307,0.0002699619076883906,175.0,3.5054397670819526e-05
C4H6O7N-,180.01497511404946,180.01493453277845,131.34411620981962,0.0002730188582500687,179.0,4.0581271008477415e-05
C8H9O5-,185.04554696633946,185.0455225882119,158.5991173849047,0.0002806486280961251,181.0,2.4378127562840746e-05
C7H7O6-,187.0248115217594,187.02482038731551,49.58829399139054,0.00028365055823575394,184.0,-8.865556111459227e-06
C8H11O5-,187.06119703047943,187.06118952496428,2318.440318807862,0.00028370552949750247,185.0,7.505515156935871e-06
C7H9O6-,189.04046158589938,189.04045803240095,1542.3325086155348,0.0002867074552511331,186.0,3.553498430619584e-06
C5H6O7N-,192.01497511404946,192.0149649266644,1099.7916004421895,0.0002912187564902873,188.0,1.0187385072413235e-05
C5H8O7N-,194.03062517818938,194.03061172136964,132.10574107236036,0.00029427590219784105,191.0,1.3456819743851156e-05
C9H11O5-,199.06119703047943,199.06114502917657,62.491134664153726,0.0003019052138478424,195.0,5.200130286198146e-05
C8H9O6-,201.04046158589938,201.0404388107772,1351.9517886244882,0.00030490721657823656,197.0,2.27751221757444e-05
C9H13O5-,201.07684709461944,201.07678088808814,79.1458051143671,0.00030496232879468466,198.0,6.620653130084975e-05
C8H11O6-,203.0561116500394,203.0560917303146,743.4458164235709,0.00030796436465849034,200.0,1.9919724820738338e-05
C6H8O7N-,206.03062517818938,206.03060506262668,802.9213156414899,0.0003124754236002418,201.0,2.0115562705314005e-05
C3H2O5NF4-,207.98745862664944,207.98735956524885,36.32145106502307,0.0003154431301737369,202.0,9.9061400590017e-05
C5H6O8N-,208.00988973360944,208.00986806251288,1555.3382175978782,0.00031547738482733475,203.0,2.1671096561703962e-05
C6H10O7N-,208.04627524232941,208.04623713607205,398.22685792588584,0.0003155324197311796,204.0,3.810625736377915e-05
C5H8O8N-,210.02553979774945,210.0255219708445,8490.19851909412,0.0003185343084339506,207.0,1.7826904951334654e-05
C4C[13]H8O8N-,211.02889463554942,211.0288236024938,56.38985442671581,0.00032005616635107017,208.0,7.103305563305184e-05
C9H9O6-,213.04046158589938,213.0404221041902,7.418359835918402,0.0003231067814301558,210.0,3.948170916601157e-05
C10H13O5-,213.07684709461944,213.07676881662934,252.31625585640006,0.00032316214688933305,211.0,7.82779900987407e-05
C9H11O6-,215.0561116500394,215.05605745312337,550.179305243734,0.00032616378666593717,213.0,5.419691603947285e-05
C10H15O5-,215.09249715875941,215.09249232850627,17.29963718354308,0.0003262190888405456,214.0,4.830253146792529e-06
C9H13O6-,217.07176171417942,217.07174217499443,617.4848512099576,0.0003292209565879349,216.0,1.953918498998064e-05
C6H6O8N-,220.00988973360944,220.00986362151286,568.169354632444,0.0003336771629929665,219.0,2.6112096577435295e-05
C7H10O7N-,220.04627524232941,220.04626320740482,1169.253563007988,0.0003337323326277814,220.0,1.2034924594672702e-05
C6H8O8N-,222.02553979774945,222.02551467162183,1181.0957220933176,0.0003367340145479803,221.0,2.512612761051969e-05
C5H6O9N-,224.00480435316945,224.0047747998641,4472.3572917923,0.0003397359785655612,223.0,2.9553305353147152e-05
C6H10O8N-,224.04118986188942,224.04114327163896,608.6290997240002,0.0003397911500808578,224.0,4.6590250462941185e-05
C4O3F7-,228.97411497858943,228.97414275796663,14.259066483934228,0.0003472728932863342,227.0,-2.777937720566115e-05
C10H13O6-,229.07176171417942,229.07168774435138,274.1683123225707,0.00034742060730923147,228.0,7.396982803697938e-05
C10H15O6-,231.08741177831945,231.08735032635616,379.39440079676035,0.00035047784618522034,232.0,6.145196329043756e-05
C8H10O7N-,232.04627524232941,232.04620867783262,14.985117880251622,0.0003519318184221956,233.0,6.656449679098841e-05
C7H8O8N-,234.02553979774945,234.02550630474138,4217.832306968637,0.0003549339836322572,235.0,3.3493008061213914e-05
C8H12O7N-,234.06192530646942,234.06189094408904,11207.234428053562,0.00035498903478999353,236.0,3.436238037579642e-05
C7C[13]H12O7N-,235.06528014426945,235.06521317490146,303.6520212155983,0.00035651072923730237,238.0,6.696936799244213e-05
C6H6O9N-,236.00480435316945,236.00476941907615,74.24040567702491,0.0003579356060590841,239.0,3.493409329280439e-05
C7H10O8N-,236.04118986188942,236.04115637771096,8539.568288505574,0.00035799103098616594,240.0,3.3484178459275427e-05
C8H14O7N-,236.07757537060942,236.07753444047822,83.00980138742892,0.00035804614264530214,241.0,4.093013120609612e-05
C6H8O9N-,238.02045441730945,238.02037630471187,250.08452688775859,0.00036099263483449766,243.0,7.811259757772859e-05
C7H12O8N-,238.05683992602943,238.05676759192525,192.10324021989976,0.0003610477805945215,245.0,7.233410417484265e-05
C5HO2F8-,244.98542861109942,244.98539785293517,205.91108331255083,0.0003715561148273218,251.0,3.075816425734956e-05
C10H13O7-,245.06667633373942,245.06666765528854,143.12938081012467,0.0003716795747881911,252.0,8.67845088237118e-06
C8H8O8N-,246.02553979774945,246.02545669613477,43.31092631718612,0.00037313363598699375,253.0,8.310161467761645e-05
C9H12O7N-,246.06192530646942,246.0618833145808,20.708778490845685,0.0003731888107077494,254.0,4.199188862230585e-05
C8H10O8N-,248.04118986188942,248.0411915322807,14273.494114052,0.0003761907304863069,255.0,-1.6703912706361734e-06
C7C[13]H10O8N-,249.04454469968945,249.04450105800458,677.2670701463643,0.0003777123588927156,256.0,4.3641684868589437e-05
C7H8O9N-,250.02045441730945,250.02039027382324,188.50182471984004,0.00037919240251667964,257.0,6.414348621319732e-05
C8H12O8N-,250.05683992602943,250.05682837111638,12261.350466560449,0.0003792478599629012,258.0,1.1554913044165005e-05
C9H16O7N-,250.09322543474946,250.0931817744162,315.8667759002842,0.00037930297396283875,259.0,4.3660333261641426e-05
C7C[13]H12O8N-,251.06019476382943,251.0601419863184,596.9920480118222,0.00038076949328114226,260.0,5.2777511029944435e-05
C7H10O9N-,252.03610448144943,252.03604849934678,1143.1189064027485,0.0003822495707968517,261.0,5.598210265134185e-05
C9H10O9N-,276.03610448144946,276.036079033587,75.04760443201573,0.0004186488886983671,286.0,2.544786246971853e-05
C10H14O8N-,276.0724899901694,276.07239940406254,833.5137382369915,0.0004187041499190041,287.0,9.058610686452084e-05
C9H12O9N-,278.05175454558946,278.05165671444246,6463.686402161624,0.0004217058318848413,290.0,9.783114700212536e-05
C10H16O8N-,278.0881400543094,278.08804057940944,1100.1261204146076,0.0004217612825314025,291.0,9.947489996875447e-05
C8H10O10N-,280.03101910100946,280.0309826890719,135.9902228855639,0.00042470788451830563,295.0,3.6411937571756425e-05
C9H12O8O[18]N-,280.05600092602947,280.05600893508574,29.392261001281213,0.0004247458077013101,296.0,-8.009056273294846e-06
C8H11O10N2-,295.04191813787946,295.04195930549696,369.80257468320116,0.000447473993469647,315.0,-4.116761749628495e-05
C9C[13]H16O9N-,295.0864095116694,295.0863551915959,617.1650584632797,0.00044754144005470923,316.0,5.432007350236745e-05
C9H14O10N-,296.06231922928936,296.06237730809056,175.7978980574272,0.00044902180271309616,318.0,-5.807880120300979e-05
C14H16O5NF-,297.10179941562944,297.10186907885816,955.1448959244,0.0004505983761048976,320.0,-6.966322871448938e-05
C10H14O11N-,324.05723384884936,324.0571843676576,365.2772458423351,0.0004914799280336998,337.0,4.9481191751965525e-05
