formula,mz,observed,a,sigma,peak,error
C2H3O2-,59.01385291523943,59.01381139478585,21.10893646265686,8.950306689427548e-05,6.0,4.152045358551959e-05
O3N-,61.988366443389424,61.98837509494717,2529581.7253425024,9.401440991837798e-05,11.0,-8.651557749317362e-06
O3N[15]-,62.985401336789415,62.98542503781848,8422.424277137048,9.552661579069149e-05,16.0,-2.370102906468219e-05
O2O[17]N-,62.992583523829424,62.99260328111719,2470.0162834961684,9.553749357067401e-05,17.0,-1.9757287766708487e-05
O2O[18]N-,63.99261282382943,63.99262382282478,15458.166823035275,9.705414995770682e-05,18.0,-1.0998995350064433e-05
C2H3O3-,75.00876753479943,75.00879200646023,66.30903677168044,0.00011376180232653743,24.0,-2.4471660793778938e-05
C4H5O2-,85.02950297937943,85.02956986916482,116.175712563083,0.00012895976805395374,30.0,-6.68897853870476e-05
C2HO4-,88.98803209021943,88.98812378232114,2724.105650706485,0.00013496349794086163,32.0,-9.169210170512088e-05
C3H3O4-,103.00368215435944,103.00376545329937,7802.911855179919,0.00015622030108096457,37.0,-8.329893992709003e-05
C2O2F3-,112.98558747902945,112.98565717287748,913.3043208685496,0.0001713592403755382,41.0,-6.96938480331255e-05
C4H3O4-,115.00368215435944,115.00373342514251,77.2632475260383,0.00017441996964292,44.0,-5.1270783075096915e-05
C4H5O4-,117.01933221849943,117.01938055540525,1618.458415159802,0.00017747702085545503,45.0,-4.83369058201788e-05
C3H3O5-,118.99859677391943,118.99863753684015,28.1625555150272,0.00018047886538585288,46.0,-4.0762920718862006e-05
CH2O6N-,123.98876036620943,123.9887507656987,1142.688077904338,0.00018804707664108304,48.0,9.600510736618162e-06
HO6N2-,124.98400933893944,124.98399955901674,1169434.4602874855,0.00018955654369780405,51.0,9.779922706343314e-06
HO6NN[15]-,125.98104423233944,125.9810365546105,8311.786112633145,0.00019106861955473506,53.0,7.677728945054696e-06
HO5O[17]N2-,125.98822641937944,125.98822954593462,2268.019317515243,0.00019107955411542792,54.0,-3.1265551712067463e-06
HO5O[18]N2-,126.98825571937942,126.9882538107383,13110.228236494224,0.00019259628692892876,55.0,1.9086411242597023e-06
C5H5O4-,129.01933221849944,129.01937962487446,28.913851159356753,0.00019567679275786902,56.0,-4.740637501754463e-05
C6H9O3-,129.05571772721942,129.05570433212253,54.993312858422414,0.00019573188330741822,57.0,1.3395096885915336e-05
C4H5O5-,133.01424683805945,133.01426591602174,3412.0526445893092,0.0002017356009815088,58.0,-1.9077962292612938e-05
CO5N3-,133.98434369210943,133.98436264623612,92.60781317503898,0.00020320681180331795,61.0,-1.8954126687731332e-05
C5H5O5-,145.01424683805945,145.01426569104882,822.1657398910241,0.00021993532809558454,65.0,-1.8852989370543582e-05
C5H7O5-,147.02989690219945,147.02992510914734,12759.181273253464,0.0002229923628342456,68.0,-2.8206947888520517e-05
C4C[13]H7O5-,148.03325173999946,148.0333258775668,143.6065473642699,0.00022451414577693996,69.0,-7.413756733853916e-05
C2H2O7N-,151.98367498576945,151.9837032519159,33.17725831326868,0.00023050549265356314,70.0,-2.8266146443911566e-05
C6H7O5-,159.02989690219945,159.02990990691416,2501.5943297534864,0.00024119215913357092,72.0,-1.3004714702447018e-05
C5H5O6-,161.00916145761943,161.0091862709213,2366.411158833468,0.0002441939117101197,73.0,-2.481330187720232e-05
C6H9O5-,161.04554696633943,161.04555492549903,1471.427575295792,0.0002442490301152576,74.0,-7.959159603387889e-06
C3O2F5-,162.98239391902945,162.9823675702163,64.96871051103396,0.0002471865596992212,75.0,2.6348813150889328e-05
C3H4O7N-,165.99932504990943,165.99929857558632,710.8954567770126,0.0002517621477750882,76.0,2.6474323107095188e-05
C7H7O5-,171.02989690219945,171.0298618501475,124.98116372470297,0.0002593918686047738,77.0,3.5052051941875106e-05
C8H11O4-,171.06628241091943,171.0662982581974,50.0103240390624,0.00025944698156805257,78.0,-1.5847277978764396e-05
C7H9O5-,173.04554696633946,173.0455249458435,8907.295267565873,0.00026244875113646035,79.0,2.202049594757227e-05
C6C[13]H9O5-,174.04890180413943,174.04885291240217,240.70574288087514,0.0002639705512728407,80.0,4.889173726496665e-05
C6H7O6-,175.0248115217594,175.02477716675818,1717.21488544086,0.0002654506533626227,81.0,3.4355001218955294e-05
C7H11O5-,175.06119703047943,175.06116337212717,195.74516458969933,0.00026550583424918967,83.0,3.365835226531999e-05
C4H6O7N-,180.01497511404946,180.01492955048556,29.936033255723256,0.000273018892589206,86.0,4.5563563901396265e-05
C8H9O5-,185.04554696633946,185.04550334657782,152.19281989793592,0.00028064843721769547,87.0,4.361976164091175e-05
C8H11O5-,187.06119703047943,187.06118645922913,2491.818434943108,0.0002837055653974845,88.0,1.057125030001771e-05
C7H9O6-,189.04046158589938,189.04045099464025,1361.5741749534961,0.00028670749159175415,89.0,1.0591259126613295e-05
C5H6O7N-,192.01497511404946,192.01495421330702,847.6278139142966,0.00029121879349489066,91.0,2.0900742441654074e-05
C5H8O7N-,194.03062517818938,194.0306420895868,147.2990903870779,0.0002942759396536148,93.0,-1.691139740955805e-05
C9H11O5-,199.06119703047943,199.061146052248,105.27698942374622,0.00030190525243378193,95.0,5.097823142818925e-05
C8H9O6-,201.04046158589938,201.04044203835286,1158.221126869553,0.0003049072556105238,96.0,1.9547546514786518e-05
C9H13O5-,201.07684709461944,201.07686464691372,181.95211178899842,0.00030496236783517485,97.0,-1.7552294281131253e-05
C8H11O6-,203.0561116500394,203.0560652940328,805.6562704318715,0.00030796414398092677,99.0,4.635600660662931e-05
C6H8O7N-,206.03062517818938,206.0306016119145,882.8296059269009,0.0003124754637618827,102.0,2.3566274876429816e-05
C5H6O8N-,208.00988973360944,208.00984871003715,1827.7436654053345,0.00031547742543854793,103.0,4.102357229385234e-05
C6H10O7N-,208.04627524232941,208.0462410447864,676.8867276634353,0.0003155324603506433,104.0,3.4197543016034615e-05
C5H8O8N-,210.02553979774945,210.02551650116737,8641.00936823932,0.00031853434950389987,105.0,2.3296582071452576e-05
C4C[13]H8O8N-,211.02889463554942,211.02887904292433,41.02008001018335,0.00032005620764974585,106.0,1.5592625089766443e-05
C10H13O5-,213.07684709461944,213.07677960674295,388.82124132097454,0.00032316218865553785,107.0,6.748787649257793e-05
C9H11O6-,215.0561116500394,215.0560731624209,526.4227436835868,0.00032616382888487716,108.0,3.848761852509597e-05
C9H13O6-,217.07176171417942,217.0717522942922,602.5276860857808,0.00032922099926890294,109.0,9.419887220474266e-06
C6H6O8N-,220.00988973360944,220.00986874604624,532.2226068699115,0.00033367720634904717,110.0,2.098756320378925e-05
C7H10O7N-,220.04627524232941,220.0462288757051,909.5954530704659,0.0003337323759922325,111.0,4.636662430357319e-05
C6H8O8N-,222.02553979774945,222.02550671757854,1094.1827742103387,0.0003367340583682976,112.0,3.308017090830617e-05
C5H6O9N-,224.00480435316945,224.00476846381056,4652.680658448988,0.00033973602284266584,113.0,3.588935888387823e-05
C6H10O8N-,224.04118986188942,224.0411855638458,535.3169467096434,0.0003397911943663658,114.0,4.298043620565295e-06
C10H13O6-,229.07176171417942,229.0717034360802,400.86357537568983,0.0003474206527596267,116.0,5.827809920333493e-05
C10H15O6-,231.08741177831945,231.08737680663933,322.28735592059553,0.00035047789210397487,117.0,3.497168012245311e-05
C8H10O7N-,232.04627524232941,232.04637511043038,35.71849865084201,0.0003519321823879776,118.0,-9.986810096052068e-05
C7H8O8N-,234.02553979774945,234.02550496731604,4150.422256976237,0.0003549337083362955,119.0,3.4830433406796146e-05
C8H12O7N-,234.06192530646942,234.061899429479,11815.909696653187,0.00035498908140147757,120.0,2.58769904064593e-05
C7C[13]H12O7N-,235.06528014426945,235.06524870559076,252.08407488827848,0.0003565107760828914,122.0,3.1438678689710287e-05
C6H6O9N-,236.00480435316945,236.00480596566314,42.280767446688515,0.000357935653124082,123.0,-1.6124936905725917e-06
C7H10O8N-,236.04118986188942,236.0411479018485,8483.665688045261,0.00035799075199303005,124.0,4.1960040931598996e-05
C6C[13]H10O8N-,237.04454469968945,237.04448760612652,92.08435958512183,0.0003595124471185248,125.0,5.709356292982193e-05
C6H8O9N-,238.02045441730945,238.02036705738064,380.6231308454192,0.0003609926823708778,126.0,8.735992881270249e-05
C7H12O8N-,238.05683992602943,238.05674854848874,333.02147801024853,0.000361047828139413,127.0,9.137754068433424e-05
C5HO2F8-,244.98542861109942,244.9854388189758,105.48822086937598,0.0003715561639992996,130.0,-1.0207876385948111e-05
C10H13O7-,245.06667633373942,245.06675551648877,173.68855395482268,0.00037167962397934636,131.0,-7.918274934581859e-05
C8H10O8N-,248.04118986188942,248.04118629936238,13922.894792376423,0.00037619078037916313,132.0,3.5625270413675025e-06
C7H8O9N-,250.02045441730945,250.0204308281475,166.665006654274,0.00037919245287748013,135.0,2.358916194111771e-05
C8H12O8N-,250.05683992602943,250.0568289444256,12456.679296244743,0.00037924755479710673,136.0,1.0981603821846875e-05
C9H16O7N-,250.09322543474946,250.09317270136137,375.4275721262885,0.0003793026687281399,138.0,5.273338808819972e-05
C7C[13]H12O8N-,251.06019476382943,251.06019488692783,564.9352442256576,0.00038076954388813455,139.0,-1.230984025824e-07
