formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.98837607281329,2533429.8779785023,9.401441539297131e-05,7.0,-9.629423864510045e-06
O3N[15]-,62.985401336789415,62.98542503694963,8786.701819505171,9.552657693904062e-05,10.0,-2.37001602130249e-05
O2O[17]N-,62.992583523829424,62.992603877632504,2359.2788767432253,9.553749966919281e-05,11.0,-2.035380308029744e-05
O2O[18]N-,63.99261282382943,63.99262397218171,15719.968950818826,9.705415669018596e-05,12.0,-1.1148352278667062e-05
C2H3O3-,75.00876753479943,75.00880557569478,20.386153462725304,0.00011376181685250355,17.0,-3.80408953475353e-05
C4H5O2-,85.02950297937943,85.02958848660349,199.73175328172923,0.00012895979089440926,21.0,-8.550722405686884e-05
C2HO4-,88.98803209021943,88.98811845694946,2775.3130223518183,0.00013496344889178669,26.0,-8.636673003081796e-05
C4H5O3-,101.02441759893942,101.02451175128635,11.635902772508581,0.0001532183862826161,30.0,-9.415234693221919e-05
C3H3O4-,103.00368215435944,103.00376510169662,8302.73537764609,0.0001562202475396069,31.0,-8.294733717661984e-05
C4H7O3-,103.04006766307943,103.04013409841654,41.27666073882597,0.00015627543747033377,32.0,-6.643533711780947e-05
C2O2F3-,112.98558747902945,112.98565692675247,880.7768238178896,0.0001713592920104541,36.0,-6.944772302119873e-05
C4H3O4-,115.00368215435944,115.00368449439632,28.628409282084387,0.0001744199127633797,37.0,-2.340036886039343e-06
C5H7O3-,115.04006766307943,115.04013946311854,68.50335475520625,0.00017447514938309078,38.0,-7.180003910889354e-05
C4H5O4-,117.01933221849943,117.01938442244101,1650.5598427548864,0.00017747696345916613,39.0,-5.220394157845476e-05
CH2O6N-,123.98876036620943,123.98874848315388,1327.0111521091274,0.00018804701755262515,41.0,1.1883055549333221e-05
HO6N2-,124.98400933893944,124.98399779493539,1158565.0541790524,0.00018955648437949746,45.0,1.154400405312117e-05
HO6NN[15]-,125.98104423233944,125.98103582109478,8095.246593632415,0.0001910686871497463,49.0,8.411244664330297e-06
HO5O[17]N2-,125.98822641937944,125.98822041071276,2256.4094226487728,0.00019107949456816393,50.0,6.008666687762343e-06
HO5O[18]N2-,126.98825571937942,126.9882525025673,13769.330654458792,0.00019259622715658766,51.0,3.216812118012058e-06
C6H9O3-,129.05571772721942,129.0557111680423,73.27089553117041,0.00019573182307900923,52.0,6.559177109011216e-06
C4H5O5-,133.01424683805945,133.01425898251173,2734.507453109161,0.00020173553991431622,54.0,-1.2144452284701401e-05
CO5N3-,133.98434369210943,133.98436756893057,96.8257288706921,0.00020320688998392726,55.0,-2.3876821131807446e-05
C5H5O5-,145.01424683805945,145.01425865783074,1237.6421033455747,0.00021993526475610808,59.0,-1.1819771287946423e-05
C4C[13]H5O5-,146.01760167585942,146.01764671388486,47.36185961202408,0.00022145705953903854,61.0,-4.5038025433541407e-05
C5H7O5-,147.02989690219945,147.02992817364213,12821.039140922394,0.0002229922991521274,63.0,-3.12714426797811e-05
C4C[13]H7O5-,148.03325173999946,148.0332891104579,102.03864960024077,0.00022451408192836894,64.0,-3.7370458443319876e-05
C2H2O7N-,151.98367498576945,151.98372192709945,69.28170900290802,0.00023050559664575344,67.0,-4.694132999816247e-05
C6H5O5-,157.01424683805945,157.01424239025854,19.589660053121094,0.00023813510260549525,68.0,4.447800904472388e-06
C6H7O5-,159.02989690219945,159.02989516987745,2466.963530587013,0.00024119209363716244,69.0,1.7323220049547672e-06
C5H5O6-,161.00916145761943,161.00918138511452,2434.236265686705,0.00024419402964795313,70.0,-1.9927495088722935e-05
C6H9O5-,161.04554696633943,161.0455473433701,1336.5953583113906,0.00024424914811055945,71.0,-3.770306591377448e-07
