formula,mz,observed,a,sigma,peak,error
O3N-,61.988366443389424,61.9883756651023,2508796.0040317355,9.401440771359808e-05,4.0,-9.22171287953688e-06
O3N[15]-,62.985401336789415,62.98542579501223,8704.684761511327,9.552661397979819e-05,9.0,-2.4458222817713704e-05
O2O[17]N-,62.992583523829424,62.99260560026003,2598.4045532468044,9.553749176265095e-05,10.0,-2.2076430603590325e-05
O2O[18]N-,63.99261282382943,63.99262324409339,16382.698810146529,9.705414855500204e-05,11.0,-1.0420263954813436e-05
C2H3O3-,75.00876753479943,75.00879296472351,33.79477461649665,0.00011376180604311884,15.0,-2.542992407938982e-05
C4H5O2-,85.02950297937943,85.02957285740601,17.353519427065994,0.00012895977741723556,20.0,-6.987802657931752e-05
C2HO4-,88.98803209021943,88.98812053013377,2330.0516978893056,0.00013496350978108807,24.0,-8.843991433593601e-05
C4H5O3-,101.02441759893942,101.02447888387307,34.49425479282657,0.00015321836811699118,30.0,-6.128493365054055e-05
C3H3O4-,103.00368215435944,103.00375841038348,7720.6449563914775,0.00015622022875888593,31.0,-7.625602404459642e-05
C2C[13]H3O4-,104.00703699215944,104.0071149743247,24.034508848111827,0.00015774195051340576,32.0,-7.798216525145563e-05
C2O2F3-,112.98558747902945,112.98566363208326,886.2901307714749,0.00017135927001578764,37.0,-7.61530538113675e-05
C4H3O4-,115.00368215435944,115.00370553930489,10.742826915432593,0.00017441989009675087,41.0,-2.3384945450288797e-05
C4H5O4-,117.01933221849943,117.01938381482394,2103.343832165428,0.0001774769401140571,45.0,-5.159632451068319e-05
C3H3O5-,118.99859677391943,118.99856801734187,33.09003710396299,0.0001804786667573552,46.0,2.8756577563626706e-05
CH2O6N-,123.98876036620943,123.98875034780845,1176.9156309849384,0.00018804699180623947,49.0,1.0018400985245535e-05
HO6N2-,124.98400933893944,124.98399806154968,1164269.909567591,0.0001895564582832831,53.0,1.127738975981174e-05
HO6NN[15]-,125.98104423233944,125.98103633180713,7865.274103124195,0.0001910686607013579,58.0,7.900532310145536e-06
HO5O[17]N2-,125.98822641937944,125.9882281814793,1984.704251278367,0.00019107959526877896,59.0,-1.762099856250643e-06
HO5O[18]N2-,126.98825571937942,126.988253835195,14669.560969322245,0.00019259620035072124,60.0,1.884184428035951e-06
C6H7O3-,127.04006766307943,127.04009154178479,11.074308509682048,0.00019267484081427445,61.0,-2.387870536324499e-05
C5H5O4-,129.01933221849944,129.01934463850316,36.342857520384015,0.00019567670500532643,62.0,-1.2420003713486949e-05
C6H9O3-,129.05571772721942,129.0557332117348,88.2365256455519,0.00019573192735733674,63.0,-1.5484515387242936e-05
C4H5O5-,133.01424683805945,133.01426136317818,2810.650763315375,0.00020173551093366404,64.0,-1.4525118729125097e-05
CO5N3-,133.98434369210943,133.9843451104434,127.86387689667721,0.00020320686064744938,65.0,-1.418333965830243e-06
C3C[13]H5O5-,134.01760167585942,134.01766677167802,48.4225392099523,0.00020325734970168862,66.0,-6.509581859859281e-05
C5H5O5-,145.01424683805945,145.01424959929852,1224.9192137745486,0.00021993523126532003,68.0,-2.7612390738340764e-06
C5H7O5-,147.02989690219945,147.02992871302345,12674.426929939691,0.0002229924251814184,70.0,-3.181082399805746e-05
C4C[13]H7O5-,148.03325173999946,148.03326590462515,218.8412231004652,0.00022451404726623906,71.0,-1.4164625696366784e-05
C2H2O7N-,151.98367498576945,151.9836557775417,92.38758307350606,0.0002305053919594292,73.0,1.9208227740818984e-05
C6H7O5-,159.02989690219945,159.02990413463408,2925.487264410934,0.00024119205458757325,75.0,-7.232434626303075e-06
C5H5O6-,161.00916145761943,161.00918398438753,2313.4089553625395,0.0002441939897888448,76.0,-2.2526768105990413e-05
C6H9O5-,161.04554696633943,161.04557385580537,1570.2257718145356,0.0002442491082365318,77.0,-2.688946594275876e-05
C3O2F5-,162.98239391902945,162.98241585747365,122.68158149860683,0.0002471866401003307,79.0,-2.193844420617097e-05
C3H4O7N-,165.99932504990943,165.99933352094558,805.4511369737907,0.00025176223177473725,80.0,-8.471036153423483e-06
C7H7O5-,171.02989690219945,171.02986812161856,181.3775629919229,0.0002593917576218355,83.0,2.878058089095248e-05
C7H9O5-,173.04554696633946,173.04553257770843,8279.54321991209,0.00026244884376292707,84.0,1.438863102976029e-05
C6C[13]H9O5-,174.04890180413943,174.048845288927,235.96176386780806,0.0002639704386943363,85.0,5.651521243521529e-05
C6H7O6-,175.0248115217594,175.02478899006582,2002.5325793620316,0.00026545074846770646,86.0,2.2531693588234702e-05
C8H9O5-,185.04554696633946,185.04555172812672,124.7403406183843,0.00028064854523695664,90.0,-4.7617872667160555e-06
C7H7O6-,187.0248115217594,187.0247797780039,167.1133978958962,0.0002836504747973429,91.0,3.174375549974684e-05
C8H11O5-,187.06119703047943,187.0611803255874,1832.1782873786883,0.00028370567608733464,92.0,1.6704892033203578e-05
C7H9O6-,189.04046158589938,189.04044185714665,1824.9431568912323,0.00028670737122786884,94.0,1.9728752732817156e-05
C5H6O7N-,192.01497511404946,192.01495984582493,1259.0251332219786,0.00029121867161306246,95.0,1.5268224530018415e-05
C9H11O5-,199.06119703047943,199.06120101252074,60.53224878200977,0.0003019053795162651,99.0,-3.982041306471729e-06
C8H9O6-,201.04046158589938,201.04045776002417,1570.6431957374748,0.0003049071291758513,100.0,3.825875211305174e-06
C9H13O5-,201.07684709461944,201.07680485872356,102.84074190711918,0.0003049622413823311,101.0,4.223589587581955e-05
C7H7O7-,203.01972614131938,203.01970212982707,23.6939301331977,0.00030790912904283657,103.0,2.4011492314457428e-05
C8H11O6-,203.0561116500394,203.05611227509382,939.768350804258,0.0003079642767055393,104.0,-6.250544117847312e-07
C6H8O7N-,206.03062517818938,206.03058541138023,903.7245576543044,0.00031247560074651936,107.0,3.9766809152297355e-05
C5C[13]H8O7N-,207.0339800159894,207.03389398476392,14.033422560917932,0.0003139970470508102,108.0,8.603122549288855e-05
C3H2O5NF4-,207.98745862664944,207.98743783297493,33.90642218107509,0.0003154433105941172,109.0,2.079367450846803e-05
C5H6O8N-,208.00988973360944,208.00984943643772,1914.3487674698097,0.0003154772955418632,110.0,4.0297171722158964e-05
C6H10O7N-,208.04627524232941,208.04623736797188,198.09126100636098,0.0003155326002504159,111.0,3.7874357531109126e-05
C5H8O8N-,210.02553979774945,210.02551665308812,8299.021682568076,0.00031853449228847836,112.0,2.314466132702364e-05
C4C[13]H8O8N-,211.02889463554942,211.02887198893336,79.45427916601818,0.00032005607626768204,113.0,2.2646616059773805e-05
C10H13O5-,213.07684709461944,213.07677298202455,221.89864345817375,0.0003231620562707506,115.0,7.411259488776523e-05
C9H11O6-,215.0561116500394,215.05606467349304,586.1102691341689,0.0003261639790997455,116.0,4.6976546371979566e-05
C10H15O5-,215.09249715875941,215.09239942188825,28.734122360197183,0.0003262189976999794,117.0,9.773687116876317e-05
C9H13O6-,217.07176171417942,217.07176011040528,888.6677131953098,0.00032922115250047436,118.0,1.6037741374930192e-06
C6H6O8N-,220.00988973360944,220.00985089495398,413.0883663428389,0.00033367707059858904,121.0,3.883865545617482e-05
C7H10O7N-,220.04627524232941,220.0462731168933,961.1657821995909,0.0003337322402242326,122.0,2.1254361115552456e-06
C6H8O8N-,222.02553979774945,222.02548768760914,1138.0824838849776,0.000336734219108244,123.0,5.211014030237493e-05
C7H12O7N-,222.06192530646942,222.061916095784,21.198536464055213,0.0003367892560885691,124.0,9.210685419702713e-06
C5H6O9N-,224.00480435316945,224.00478057486558,4869.063506258898,0.0003397358851729902,125.0,2.377830386990354e-05
C6H10O8N-,224.04118986188942,224.04115627192795,475.9287008867005,0.00033979105667928083,126.0,3.358996147539983e-05
C10H13O6-,229.07176171417942,229.07175610046016,209.33298279860693,0.0003474208244091516,128.0,5.613719253005911e-06
C10H15O6-,231.08741177831945,231.08741318697486,414.94726748389934,0.00035047775106730056,129.0,-1.4086554074310698e-06
C9H13O7-,233.06667633373942,233.0666546753543,33.58023009133386,0.0003534795258828511,131.0,2.165838512269147e-05
C7H8O8N-,234.02553979774945,234.02549264137238,3728.5305672466593,0.0003549338878150808,132.0,4.71563770645389e-05
C8H12O7N-,234.06192530646942,234.06190757210942,11461.743528280727,0.00035498893896423843,133.0,1.7734360000076776e-05
C6C[13]H8O8N-,235.02889463554942,235.02891207147346,34.158580838702,0.00035645555166074073,135.0,-1.7435924036135475e-05
C7C[13]H12O7N-,235.06528014426945,235.065231282972,342.800765659,0.000356510633175,136.0,4.886129744363643e-05
C7H10O8N-,236.04118986188942,236.04114977404686,7680.762031953287,0.0003579909346948201,137.0,4.0087842563707454e-05
C8H14O7N-,236.07757537060942,236.0775260804863,168.67822718096397,0.0003580460463454493,139.0,4.929012311549741e-05
